match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
12512887,2024-08-11,24/25,1,finished,Estoril Praia,Estoril,estoril-praia,Santa Clara,Santa Clara,santa-clara,1,4,REGULAR,AWAY_TEAM,,,True,41,59,0.15,2.72,0,3,,,4,12,,,,,,,3,1,1,3,19,11,6,3,,,,,263,401,,,,,14,29,,,2,4,,,,,,,,,,,11,19,1,2,21,12,5,9
12512896,2024-08-11,24/25,1,finished,SC Farense,Farense,sc-farense,Moreirense,Moreirense,moreirense,1,2,REGULAR,AWAY_TEAM,,,True,53,47,1.4,2.2,2,4,1,2,14,12,,,,,,,4,4,5,4,10,12,0,4,0,1,,,297,266,,,,,24,27,,,6,3,,,,,,,,,,,13,10,1,2,31,23,6,9
12512897,2024-08-10,24/25,1,finished,Casa Pia,Casa Pia,casa-pia,Boavista,Boavista,boavista,0,1,REGULAR,AWAY_TEAM,,,True,67,33,0.92,1.15,2,2,2,1,15,7,,,,,,,1,3,3,1,6,10,2,1,,,,,488,191,,,,,31,26,,,7,3,,,,,,,,,,,12,6,2,1,26,17,3,13
12512898,2024-08-12,24/25,1,finished,FC Arouca,Arouca,arouca,Vitória SC,Vitória,vitoria-sc,0,1,REGULAR,AWAY_TEAM,,,True,64,36,0.21,0.83,0,1,,,8,10,,,,,,,3,0,6,5,8,13,7,2,1,0,,,481,244,,,,,21,20,,,1,5,,,,,,,,,,,13,11,1,2,26,22,7,7
12512899,2024-08-11,24/25,1,finished,Sporting Braga,Braga,sporting-braga,CF Estrela Amadora,Estrela Amadora,cf-estrela-amadora,1,1,REGULAR,DRAW,,,True,65,35,1.41,0.69,3,1,2,1,13,6,,,,,,,3,4,13,4,8,14,3,5,,,,,418,189,,,,,26,17,,,8,1,,,,,,,,,,,14,9,2,4,30,12,3,13
12512900,2024-08-11,24/25,1,finished,Famalicão,Famalicão,famalicao,Benfica,Benfica,benfica,2,0,REGULAR,HOME_TEAM,,,True,35,65,1.47,0.78,3,0,1,0,9,12,,,,,,,2,3,0,7,13,7,3,4,,,,,241,494,,,,,31,22,,,1,5,,,,,,,,,,,8,13,3,4,26,27,8,6
12512901,2024-08-09,24/25,1,finished,Sporting CP,Sporting,sporting,Rio Ave,Rio Ave,rio-ave,3,1,REGULAR,HOME_TEAM,,,True,59,41,3,0.46,5,1,3,0,27,4,,,,,,,0,3,6,1,12,9,2,2,,,,,514,321,,,,,16,24,,,3,0,,,,,,,,,,,9,14,,,19,13,4,13
12512902,2024-08-10,24/25,1,finished,AVS - Futebol SAD,AVS,avs-futebol-sad,CD Nacional,Nacional,cd-nacional,1,1,REGULAR,DRAW,,,True,54,46,1.01,0.53,1,1,,,17,7,,,,,,,1,2,4,2,13,5,1,1,,,,,373,307,,,,,26,24,,,7,5,,,,,,,,,,,8,13,0,1,19,18,9,14
12512903,2024-08-10,24/25,1,finished,FC Porto,Porto,fc-porto,Gil Vicente,Gil Vicente,gil-vicente,3,0,REGULAR,HOME_TEAM,,,True,71,29,3.47,0.1,4,0,2,0,18,2,,,,,,,1,2,7,2,8,18,0,3,0,1,,,607,224,,,,,16,25,,,5,3,,,,,,,,,,,18,10,1,1,14,8,4,8
12513639,2025-04-18,24/25,30,finished,FC Porto,Porto,fc-porto,Famalicão,Famalicão,famalicao,2,1,REGULAR,HOME_TEAM,,,True,58,42,0.72,0.39,1,0,1,0,8,12,,,,,,,3,4,4,5,13,17,2,3,1,0,,,402,275,,,,,35,24,,,3,3,,,,,,,,,,,17,13,1,2,19,19,9,3
