match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
14131857,2025-08-08,25/26,1,finished,Casa Pia,Casa Pia,casa-pia,Sporting CP,Sporting,sporting,0,2,REGULAR,AWAY_TEAM,,,True,33,67,0.43,2.85,1,6,1,5,7,27,,,,,,,8,2,2,9,11,14,4,1,,,,,208,482,,,,,24,21,,,1,7,,,,,,,,,,,14,11,1,1,13,23,11,7
14131858,2025-08-10,25/26,1,finished,Sporting Braga,Braga,sporting-braga,Tondela,Tondela,tondela,3,0,REGULAR,HOME_TEAM,,,True,68,32,1.98,0.78,3,3,0,3,8,7,,,,,,,3,3,5,3,8,10,1,3,,,,,561,229,,,,,35,16,,,3,1,,,,,,,,,,,10,9,3,6,24,9,7,3
14131859,2025-09-23,25/26,1,finished,Benfica,Benfica,benfica,Rio Ave,Rio Ave,rio-ave,1,1,REGULAR,DRAW,,,True,69,31,2.57,0.16,4,0,3,0,19,4,,,,,,,1,6,11,2,17,16,3,3,,,,,480,187,,,,,24,20,,,8,3,,,,,,,,,,,16,17,2,0,31,15,4,10
14131860,2025-08-09,25/26,1,finished,FC Arouca,Arouca,arouca,AVS - Futebol SAD,AVS,avs-futebol-sad,3,1,REGULAR,HOME_TEAM,,,True,53,47,1.1,1.13,2,4,1,3,9,15,,,,,,,1,1,4,5,17,13,2,0,,,,,384,321,,,,,37,31,,,2,10,,,,,,,,,,,13,17,0,1,27,17,10,10
14131861,2025-08-11,25/26,1,finished,Estoril Praia,Estoril,estoril-praia,CF Estrela Amadora,Estrela Amadora,cf-estrela-amadora,1,1,REGULAR,DRAW,,,True,65,35,0.67,1.37,2,2,1,1,8,9,,,,,,,4,3,4,4,16,13,4,1,,,,,425,191,,,,,21,26,,,4,4,,,,,,,,,,,13,16,1,3,27,17,6,9
14131863,2025-08-10,25/26,1,finished,Moreirense,Moreirense,moreirense,FC Alverca,Alverca,fc-alverca,2,1,REGULAR,HOME_TEAM,,,True,58,42,0.93,0.97,3,1,1,0,10,7,,,,,,,1,1,6,2,5,14,3,1,,,,,440,291,,,,,26,28,,,3,4,,,,,,,,,,,15,5,1,0,20,26,4,4
14131864,2025-08-09,25/26,1,finished,CD Nacional,Nacional,cd-nacional,Gil Vicente,Gil Vicente,gil-vicente,0,2,REGULAR,AWAY_TEAM,,,True,60,40,0.79,0.62,,,,,14,12,,,,,,,0,3,14,6,16,21,3,6,,,,,208,125,,,,,23,15,,,10,2,,,,,,,,,,,21,16,4,1,30,22,7,12
14131866,2025-08-10,25/26,1,finished,Famalicão,Famalicão,famalicao,Santa Clara,Santa Clara,santa-clara,3,0,REGULAR,HOME_TEAM,,,True,46,54,1.01,0.36,2,2,1,2,6,7,,,,,,,2,0,2,3,15,20,4,2,,,,,314,380,,,,,18,35,,,2,1,,,,,,,,,,,20,15,,,20,22,7,8
14131868,2025-08-15,25/26,2,finished,AVS - Futebol SAD,AVS,avs-futebol-sad,Casa Pia,Casa Pia,casa-pia,0,2,REGULAR,AWAY_TEAM,,,True,51,49,1.24,1.5,1,4,1,3,10,10,,,,,,,3,3,1,3,19,20,4,5,,,,,224,206,,,,,21,11,,,6,2,,,,,,,,,,,20,20,2,0,26,19,9,11
14131869,2025-08-17,25/26,2,finished,FC Alverca,Alverca,fc-alverca,Sporting Braga,Braga,sporting-braga,0,3,REGULAR,AWAY_TEAM,,,True,33,67,2.21,1.5,5,3,5,1,12,12,,,,,,,3,2,1,5,6,14,2,1,,,,,211,519,,,,,25,33,,,3,2,,,,,,,,,,,15,6,2,0,28,17,7,11
