team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Sporting CP,34,29,3,2,90,96.0,29.0,67.0,17,17,17,12,100.0,70.6,59.12,60.59,57.65,2.18,2.47,1.9,3.35,3.94,2.76,1.69,1.82,1.53,16.47,17.29,15.65,,,,,,,,,,1.47,1.47,1.47,6.35,7.0,5.71,2.42,2.5,2.35,0.33,0.2,0.5,,,,452.5,478.29,426.71,,,,11.56,11.65,11.47,2.03,2.25,1.82,,,,,,,,,,,,,,,
Benfica,34,25,5,4,80,77.0,28.0,49.0,17,15,17,10,88.2,58.8,59.32,61.06,57.59,2.3,2.75,1.85,3.88,4.59,3.18,2.44,2.94,1.94,17.26,19.41,15.12,,,,,,,,,,2.5,2.35,2.65,7.26,7.94,6.59,2.03,1.69,2.35,0.3,0.0,0.6,,,,479.5,494.71,464.29,,,,11.5,12.29,10.71,2.3,2.19,2.41,,,,,,,,,,,,,,,
FC Porto,34,22,6,6,72,63.0,27.0,36.0,17,11,17,11,64.7,64.7,63.68,65.94,61.41,1.94,2.27,1.61,2.97,3.62,2.35,1.82,2.25,1.41,16.79,19.47,14.12,,,,,,,,,,1.85,1.76,1.94,7.62,8.65,6.59,2.79,2.29,3.29,0.53,0.38,0.67,,,,446.56,475.24,417.88,,,,13.97,13.35,14.59,2.15,2.19,2.12,,,,,,,,,,,,,,,
Sporting Braga,34,21,5,8,68,71.0,50.0,21.0,17,10,17,11,58.8,64.7,57.09,59.06,55.12,1.91,2.15,1.68,3.32,4.18,2.47,2.03,2.88,1.12,16.21,18.29,14.12,,,,,,,,,,2.32,1.94,2.71,5.85,6.35,5.35,2.42,2.12,2.75,0.5,0.5,0.5,,,,422.18,460.41,383.94,,,,12.06,11.94,12.18,1.82,2.18,1.47,,,,,,,,,,,,,,,
Vitória SC,34,19,6,9,63,52.0,38.0,14.0,17,11,17,8,64.7,47.1,48.5,51.47,45.53,1.36,1.7,1.01,1.94,2.5,1.41,1.16,1.47,0.88,13.53,14.82,12.24,,,,,,,,,,2.71,2.59,2.82,6.53,6.76,6.29,2.79,2.41,3.18,0.3,0.33,0.25,,,,306.74,327.35,286.12,,,,14.21,13.47,14.94,2.35,3.0,1.71,,,,,,,,,,,,,,,
Moreirense,34,16,7,11,55,36.0,35.0,1.0,17,8,17,8,47.1,47.1,46.06,46.59,45.53,0.98,1.14,0.82,1.55,1.65,1.43,1.0,1.14,0.86,11.65,12.53,10.76,,,,,,,,,,2.79,2.35,3.24,4.32,5.06,3.59,2.34,2.0,2.65,0.43,0.0,0.6,,,,316.18,315.0,317.35,,,,14.38,13.18,15.59,1.91,2.06,1.73,,,,,,,,,,,,,,,
FC Arouca,34,13,7,14,46,54.0,50.0,4.0,17,7,17,6,41.2,35.3,54.12,55.29,52.94,1.42,1.38,1.47,2.42,2.56,2.29,1.48,1.73,1.25,13.71,14.59,12.82,,,,,,,,,,2.97,3.24,2.71,4.26,4.53,4.0,2.41,2.18,2.65,0.5,0.29,0.8,,,,380.41,384.47,376.35,,,,13.5,13.94,13.06,1.62,1.71,1.53,,,,,,,,,,,,,,,
Famalicão,34,10,12,12,42,37.0,41.0,-4.0,17,6,17,4,35.3,23.5,47.09,48.12,46.06,1.07,1.04,1.1,1.41,1.81,1.0,1.03,1.2,0.87,13.26,13.53,13.0,,,,,,,,,,3.32,3.12,3.53,4.62,5.41,3.82,3.09,3.24,2.94,0.75,0.83,0.67,,,,300.71,305.29,296.12,,,,15.09,13.59,16.59,2.26,2.24,2.29,,,,,,,,,,,,,,,
Casa Pia,34,10,8,16,38,38.0,50.0,-12.0,17,3,17,7,17.6,41.2,43.47,46.88,40.06,0.88,0.73,1.02,1.48,1.19,1.76,0.84,0.69,1.0,10.47,10.82,10.12,,,,,,,,,,3.39,2.88,3.88,4.71,5.35,4.06,2.26,1.71,2.82,0.67,0.5,0.75,,,,295.32,319.82,270.82,,,,14.06,13.24,14.88,2.03,2.12,1.94,,,,,,,,,,,,,,,
Rio Ave,34,6,19,9,37,38.0,43.0,-5.0,17,6,17,0,35.3,0.0,48.94,52.06,45.82,1.16,1.26,1.07,2.03,1.88,2.19,1.26,1.0,1.5,10.44,10.88,10.0,,,,,,,,,,3.59,3.24,3.94,3.65,4.47,2.82,2.88,2.94,2.82,0.57,0.25,1.0,,,,335.56,351.53,319.59,,,,14.91,15.18,14.65,2.32,2.24,2.41,,,,,,,,,,,,,,,
SC Farense,34,10,7,17,37,46.0,51.0,-5.0,17,6,17,4,35.3,23.5,42.21,44.41,40.0,1.32,1.48,1.15,2.27,2.35,2.19,1.31,1.38,1.25,11.65,12.53,10.76,,,,,,,,,,4.29,4.0,4.59,4.38,5.18,3.59,2.32,2.12,2.53,0.86,1.0,0.67,,,,250.88,258.0,243.76,,,,13.88,15.18,12.59,1.76,1.82,1.69,,,,,,,,,,,,,,,
Gil Vicente,34,9,9,16,36,42.0,52.0,-10.0,17,6,17,3,35.3,17.6,49.18,50.24,48.12,1.2,1.31,1.1,1.91,2.0,1.82,1.27,1.18,1.38,10.56,11.76,9.35,,,,,,,,,,3.12,2.88,3.35,4.09,4.53,3.65,2.34,2.62,2.06,0.38,0.25,0.5,,,,344.79,357.35,332.24,,,,11.85,12.41,11.29,2.03,2.25,1.82,,,,,,,,,,,,,,,
CF Estrela Amadora,34,7,12,15,33,33.0,53.0,-20.0,17,6,17,1,35.3,5.9,46.94,50.0,43.88,1.16,1.34,0.98,1.82,2.0,1.62,1.31,1.44,1.19,10.88,12.06,9.71,,,,,,,,,,2.85,2.47,3.24,5.24,5.71,4.76,2.24,2.12,2.35,0.78,0.67,1.0,,,,294.94,315.94,273.94,,,,12.32,13.41,11.24,2.38,2.65,2.12,,,,,,,,,,,,,,,
Estoril Praia,34,9,6,19,33,49.0,58.0,-9.0,17,8,17,1,47.1,5.9,48.65,49.35,47.94,1.17,1.18,1.16,1.91,1.88,1.94,1.06,1.2,0.94,11.56,11.24,11.88,,,,,,,,,,3.29,3.35,3.24,5.03,4.82,5.24,2.41,2.29,2.53,1.2,1.0,1.33,,,,331.12,335.29,326.94,,,,13.5,14.88,12.12,1.59,1.41,1.76,,,,,,,,,,,,,,,
Boavista,34,7,11,16,32,39.0,62.0,-23.0,17,4,17,3,23.5,17.6,48.06,51.12,45.0,1.08,1.3,0.87,1.79,2.25,1.35,1.12,1.44,0.82,9.97,11.29,8.65,,,,,,,,,,3.39,3.29,3.5,4.35,5.29,3.41,3.06,3.35,2.76,0.8,0.8,0.8,,,,318.68,346.35,291.0,,,,14.65,16.53,12.76,2.06,1.88,2.25,,,,,,,,,,,,,,,
