team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Sporting Clube de Portugal,SPO,34,25,7,2,82,88,27,61,2.59,0.79,15,14,2,1,11,5,1,WWWDW
Sport Lisboa e Benfica,BEN,34,25,5,4,80,84,28,56,2.47,0.82,15,14,2,1,11,3,3,WWWDD
FC Porto,FCP,34,22,5,7,71,65,30,35,1.91,0.88,16,13,3,1,9,2,6,WLWWW
Sporting Clube de Braga,SCB,34,19,9,6,66,55,30,25,1.62,0.88,15,9,5,3,10,4,3,WDDLD
CD Santa Clara,CD ,34,17,6,11,57,36,32,4,1.06,0.94,11,10,2,5,7,4,6,DWDWW
Vitória SC,GUI,34,14,12,8,54,47,37,10,1.38,1.09,13,9,5,3,5,7,5,LWWLL
FC Famalicão,FAM,34,12,11,11,47,44,39,5,1.29,1.15,13,7,7,3,5,4,8,LDLLW
GD Estoril Praia,EST,34,12,10,12,46,48,53,-5,1.41,1.56,7,7,4,6,5,6,6,LWLDW
Casa Pia AC,CAS,34,12,9,13,45,39,44,-5,1.15,1.29,7,8,4,5,4,5,8,DLDWL
Moreirense FC,MOR,34,10,10,14,40,42,50,-8,1.24,1.47,7,6,8,3,4,2,11,LDLDW
FC Arouca,FCA,34,9,11,14,38,35,49,-14,1.03,1.44,8,5,6,6,4,5,8,WLDDW
Rio Ave FC,RIO,34,9,11,14,38,39,55,-16,1.15,1.62,5,6,8,3,3,3,11,DLWDD
Gil Vicente FC,GIL,34,8,10,16,34,34,47,-13,1.0,1.38,7,5,5,7,3,5,9,WWLDD
CD Nacional,CDN,34,9,7,18,34,32,50,-18,0.94,1.47,8,7,3,7,2,4,11,LDLDL
CF Estrela da Amadora,AMA,34,7,8,19,29,24,50,-26,0.71,1.47,7,5,4,8,2,4,11,LWLLL
AVS,AVS,34,5,12,17,27,25,60,-35,0.74,1.76,8,3,6,8,2,6,9,DLLWL
SC Farense,FAR,34,6,9,19,27,25,46,-21,0.74,1.35,7,3,2,12,3,7,7,LLWWL
Boavista FC,BOA,34,6,6,22,24,24,59,-35,0.71,1.74,7,1,3,13,5,3,9,WLWLL
