team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Sporting Clube de Portugal,SPO,34,29,3,2,90,96,29,67,2.82,0.85,16,17,0,0,12,3,2,WDWWW
Sport Lisboa e Benfica,BEN,34,25,5,4,80,77,28,49,2.26,0.82,16,15,2,0,10,3,4,WWLWD
FC Porto,FCP,34,22,6,6,72,63,27,36,1.85,0.79,13,11,4,2,11,2,4,WDWWW
Sporting Clube de Braga,SCB,34,21,5,8,68,71,50,21,2.09,1.47,6,10,3,4,11,2,4,WLWWL
Vitória SC,GUI,34,19,6,9,63,52,38,14,1.53,1.12,10,11,2,4,8,4,5,LWLLW
Moreirense FC,MOR,34,16,7,11,55,36,35,1,1.06,1.03,16,8,4,5,8,3,6,LWWWW
FC Arouca,FCA,34,13,7,14,46,54,50,4,1.59,1.47,5,7,3,7,6,4,7,DDDLL
FC Famalicão,FAM,34,10,12,12,42,37,41,-4,1.09,1.21,8,6,6,5,4,6,7,DLWWL
Casa Pia AC,CAS,34,10,8,16,38,38,50,-12,1.12,1.47,10,3,5,9,7,3,7,LWLLW
Rio Ave FC,RIO,34,6,19,9,37,38,43,-5,1.12,1.26,10,6,8,3,0,11,6,DDWDD
SC Farense,FAR,34,10,7,17,37,46,51,-5,1.35,1.5,7,6,4,7,4,3,10,LWWLL
Gil Vicente FC,GIL,34,9,9,16,36,42,52,-10,1.24,1.53,9,6,7,4,3,2,12,WDDWL
GD Estoril Praia,EST,34,9,6,19,33,49,58,-9,1.44,1.71,10,8,1,8,1,5,11,DWLLL
CF Estrela da Amadora,AMA,34,7,12,15,33,33,53,-20,0.97,1.56,7,6,3,8,1,9,7,DLDLW
Boavista FC,BOA,34,7,11,16,32,39,62,-23,1.15,1.82,3,4,8,5,3,3,11,DLDLD
Portimonense SC,PSC,34,8,8,18,32,39,72,-33,1.15,2.12,3,3,6,8,5,2,10,DLLDW
FC Vizela,VIZ,34,5,11,18,26,36,66,-30,1.06,1.94,8,3,5,9,2,6,9,LDLWD
GD Chaves,CHA,34,5,8,21,23,31,72,-41,0.91,2.12,4,3,4,10,2,4,11,DLLLL
