team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
PSV Eindhoven,34,29,4,1,91,111.0,21.0,90.0,17,16,17,13,94.1,76.5,64.79,67.0,62.59,2.96,3.27,2.65,5.41,6.35,4.47,3.45,4.4,2.56,23.21,24.88,21.53,,,,,,,,,,1.76,1.65,1.88,7.29,8.0,6.59,1.03,0.94,1.13,0.17,0.0,0.33,,,,505.09,526.41,483.76,,,,8.24,8.06,8.41,1.97,2.06,1.88,,,,,,,,,,,,,,,
Feyenoord,34,26,6,2,84,92.0,26.0,66.0,17,13,17,13,76.5,76.5,62.15,64.29,60.0,2.8,2.99,2.61,4.76,5.12,4.41,3.18,3.47,2.88,20.62,24.29,16.94,,,,,,,,,,1.85,1.24,2.47,7.62,9.41,5.82,1.09,0.75,1.44,0.25,0.5,0.0,,,,480.03,523.06,437.0,,,,8.91,7.71,10.12,2.12,2.13,2.12,,,,,,,,,,,,,,,
FC Twente,34,21,6,7,69,69.0,36.0,33.0,17,14,17,7,82.4,41.2,56.21,60.47,51.94,1.73,1.94,1.53,2.62,2.76,2.47,1.44,1.53,1.35,16.71,18.82,14.59,,,,,,,,,,2.85,2.18,3.53,7.06,7.53,6.59,1.5,1.29,1.71,0.38,0.33,0.4,,,,399.79,440.71,358.88,,,,9.79,8.71,10.88,1.74,1.47,2.0,,,,,,,,,,,,,,,
AZ Alkmaar,34,19,8,7,65,70.0,39.0,31.0,17,11,17,8,64.7,47.1,54.62,56.18,53.06,1.68,1.88,1.48,2.94,3.59,2.29,1.85,2.18,1.5,14.12,14.53,13.71,,,,,,,,,,2.82,2.47,3.18,5.88,6.29,5.47,1.52,1.4,1.62,1.0,1.0,1.0,,,,418.91,440.12,397.71,,,,10.68,9.82,11.53,1.75,1.94,1.56,,,,,,,,,,,,,,,
AFC Ajax,34,15,11,8,56,74.0,61.0,13.0,17,9,17,6,52.9,35.3,59.94,60.59,59.29,1.94,1.99,1.89,3.35,3.35,3.35,2.03,2.0,2.06,15.29,15.41,15.18,,,,,,,,,,3.09,2.65,3.53,5.62,5.29,5.94,1.42,1.41,1.43,1.0,1.0,1.0,,,,494.85,518.0,471.71,,,,8.29,8.35,8.24,1.59,1.69,1.5,,,,,,,,,,,,,,,
FC Utrecht,36,14,11,11,53,53.0,50.0,3.0,19,9,17,5,47.4,29.4,48.19,50.05,46.12,1.41,1.59,1.22,2.39,2.47,2.29,1.53,1.47,1.59,13.61,15.58,11.41,,,,,,,,,,3.56,3.32,3.82,6.11,7.16,4.94,1.55,1.39,1.73,0.43,0.67,0.25,,,,322.58,341.16,301.82,,,,10.5,10.89,10.06,1.56,1.56,1.56,,,,,,,,,,,,,,,
NEC Nijmegen,35,14,11,10,53,69.0,53.0,16.0,18,8,17,6,44.4,35.3,48.37,48.94,47.76,1.43,1.56,1.29,2.46,2.61,2.29,1.26,1.33,1.18,13.14,13.83,12.41,,,,,,,,,,3.37,2.94,3.82,4.43,4.78,4.06,1.67,1.38,1.94,0.67,0.8,0.0,,,,349.09,354.0,343.88,,,,8.89,7.67,10.18,1.33,1.38,1.29,,,,,,,,,,,,,,,
Go Ahead Eagles,36,14,10,12,52,51.0,48.0,3.0,17,7,19,7,41.2,36.8,45.36,46.24,44.58,1.48,1.78,1.17,2.6,3.0,2.26,1.71,1.81,1.63,15.19,17.65,13.0,,,,,,,,,,3.94,3.65,4.21,5.19,5.94,4.53,1.44,1.0,1.74,0.5,0.33,0.67,,,,309.69,303.53,315.21,,,,8.42,7.24,9.47,1.63,1.5,1.74,,,,,,,,,,,,,,,
Sparta Rotterdam,35,14,7,14,49,52.0,51.0,1.0,17,6,18,8,35.3,44.4,47.03,48.47,45.67,1.36,1.57,1.16,2.56,2.71,2.41,1.76,1.75,1.76,13.06,15.06,11.17,,,,,,,,,,3.4,3.24,3.56,5.29,5.82,4.78,1.32,1.2,1.44,0.4,0.67,0.0,,,,320.77,326.47,315.39,,,,8.31,8.35,8.28,1.42,1.62,1.2,,,,,,,,,,,,,,,
Excelsior,38,9,11,18,38,65.0,82.0,-17.0,19,6,19,3,31.6,15.8,46.42,48.53,44.32,1.36,1.71,1.01,2.68,3.32,2.05,1.5,1.95,1.05,11.21,14.05,8.37,,,,,,,,,,3.84,2.89,4.79,3.68,4.0,3.37,1.64,1.24,2.06,0.86,0.67,1.0,,,,308.45,323.53,293.37,,,,8.03,6.95,9.11,1.21,1.16,1.26,,,,,,,,,,,,,,,
