team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Feyenoord,34,25,7,2,82,81.0,30.0,51.0,17,12,17,13,70.6,76.5,58.74,61.47,56.0,,,,2.76,2.82,2.71,1.7,2.06,1.35,20.0,21.94,18.06,,,,,,,,,,2.24,1.82,2.65,7.38,8.24,6.53,1.62,1.47,1.79,0.0,0.0,,,,,449.82,480.0,419.65,,,,8.85,8.65,9.06,1.25,1.12,1.4,,,,,,,,,,,,,,,
PSV Eindhoven,34,23,6,5,75,89.0,40.0,49.0,17,14,17,9,82.4,52.9,55.5,57.47,53.53,,,,3.88,4.25,3.53,2.21,2.38,2.06,18.21,19.47,16.94,,,,,,,,,,2.44,2.47,2.41,6.71,7.88,5.53,1.53,0.81,2.25,0.5,0.0,0.6,,,,426.18,449.65,402.71,,,,9.62,8.24,11.0,1.86,2.0,1.73,,,,,,,,,,,,,,,
FC Twente,38,21,11,6,74,74.0,29.0,45.0,19,15,19,6,78.9,31.6,58.53,57.32,59.74,,,,2.83,3.44,2.22,1.85,1.94,1.76,18.16,19.74,16.58,,,,,,,,,,2.82,2.47,3.16,6.21,6.37,6.05,1.51,1.44,1.58,0.33,0.0,0.5,,,,400.79,390.79,410.79,,,,10.61,10.58,10.63,1.38,1.22,1.53,,,,,,,,,,,,,,,
AFC Ajax,34,20,9,5,69,86.0,38.0,48.0,17,10,17,10,58.8,58.8,66.5,68.12,64.88,,,,3.74,4.47,3.0,2.44,2.82,2.0,18.53,22.18,14.88,,,,,,,,,,2.26,1.94,2.59,8.0,9.65,6.35,1.39,1.0,1.76,1.0,1.0,,,,,544.71,576.47,512.94,,,,9.21,8.59,9.82,2.24,2.12,2.38,,,,,,,,,,,,,,,
AZ Alkmaar,34,20,7,7,67,68.0,35.0,33.0,17,9,17,11,52.9,64.7,53.53,54.59,52.47,,,,2.91,3.35,2.47,1.76,2.12,1.41,15.03,16.06,14.0,,,,,,,,,,1.82,1.88,1.76,5.38,6.0,4.76,1.59,1.56,1.62,0.17,0.33,0.0,,,,416.03,433.88,398.18,,,,10.06,8.88,11.24,1.78,1.88,1.67,,,,,,,,,,,,,,,
Sparta Rotterdam,38,18,9,11,63,63.0,41.0,22.0,19,10,19,8,52.6,42.1,47.16,47.63,46.68,,,,2.09,2.17,2.0,1.24,1.4,1.07,12.55,12.42,12.68,,,,,,,,,,3.89,2.95,4.84,4.37,4.32,4.42,1.52,1.41,1.62,0.43,0.33,0.5,,,,332.32,328.42,336.21,,,,9.66,9.79,9.53,1.56,1.69,1.44,,,,,,,,,,,,,,,
FC Utrecht,36,16,9,11,57,57.0,52.0,5.0,18,8,18,8,44.4,44.4,49.31,50.0,48.61,,,,2.65,2.62,2.67,1.63,2.07,1.25,13.17,14.06,12.28,,,,,,,,,,3.28,3.22,3.33,5.75,6.39,5.11,1.57,1.44,1.71,0.33,1.0,0.0,,,,347.0,334.78,359.22,,,,9.39,9.56,9.22,1.16,1.0,1.29,,,,,,,,,,,,,,,
SC Heerenveen,36,12,10,14,46,45.0,56.0,-11.0,18,6,18,6,33.3,33.3,49.83,52.56,47.11,,,,1.71,1.82,1.61,1.03,1.13,0.94,12.89,14.28,11.5,,,,,,,,,,3.0,2.78,3.22,4.64,5.17,4.11,1.53,1.5,1.56,1.0,1.0,,,,,362.28,385.22,339.33,,,,9.78,9.06,10.5,1.56,1.67,1.43,,,,,,,,,,,,,,,
RKC Waalwijk,34,11,8,15,41,50.0,64.0,-14.0,17,9,17,2,52.9,11.8,45.38,48.0,42.76,,,,2.21,2.71,1.69,1.47,1.8,1.13,11.06,12.82,9.29,,,,,,,,,,4.32,4.12,4.53,4.0,4.76,3.24,1.73,1.76,1.69,0.4,0.33,0.5,,,,314.47,338.18,290.76,,,,10.06,9.88,10.24,1.9,2.31,1.56,,,,,,,,,,,,,,,
Vitesse,34,10,10,14,40,45.0,50.0,-5.0,17,5,17,5,29.4,29.4,48.91,50.0,47.82,,,,1.48,1.2,1.75,0.93,0.71,1.13,15.56,16.12,15.0,,,,,,,,,,2.53,2.0,3.06,6.21,6.41,6.0,1.55,1.41,1.69,0.71,0.5,1.0,,,,316.41,318.12,314.71,,,,10.88,10.88,10.88,1.67,1.88,1.44,,,,,,,,,,,,,,,
