team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
PSV,PSV,34,25,4,5,79,103,39,64,3.03,1.15,9,13,3,1,12,1,4,WWWWW
AFC Ajax,AJA,34,24,6,4,78,67,32,35,1.97,0.94,16,13,3,1,11,3,3,LDLDW
Feyenoord Rotterdam,FEY,34,20,8,6,68,76,38,38,2.24,1.12,10,11,3,3,9,5,3,WWLWL
FC Utrecht,UTR,34,18,10,6,64,62,45,17,1.82,1.32,9,9,3,5,9,7,1,WWLDD
AZ,AZ,34,16,9,9,57,58,37,21,1.71,1.09,12,8,4,5,8,5,4,DWWWD
FC Twente '65,TWE,34,15,9,10,54,62,49,13,1.82,1.44,11,10,4,3,5,5,7,LWWLL
Go Ahead Eagles,GOA,34,14,9,11,51,57,55,2,1.68,1.62,9,10,4,3,4,5,8,DLDWL
NEC,NEC,34,12,7,15,43,51,46,5,1.5,1.35,10,6,6,5,6,1,10,LDWWW
SC Heerenveen,HEE,34,12,7,15,43,42,57,-15,1.24,1.68,6,10,6,1,2,1,14,WWLLW
Fortuna Sittard,SIT,34,11,8,15,41,37,54,-17,1.09,1.59,10,8,1,8,3,7,7,WLWDD
PEC Zwolle,ZWO,34,10,11,13,41,43,51,-8,1.26,1.5,6,7,4,6,3,7,7,LWDWW
Sparta Rotterdam,SPA,34,9,12,13,39,39,43,-4,1.15,1.26,6,4,6,7,5,6,6,DLWDL
FC Groningen,GRO,34,10,9,15,39,40,53,-13,1.18,1.56,7,8,6,3,2,3,12,WWLDL
Heracles Almelo,HER,34,9,11,14,38,42,63,-21,1.24,1.85,6,6,7,4,3,4,10,LLWLL
NAC Breda,NAC,34,8,9,17,33,34,58,-24,1.0,1.71,5,6,6,5,2,3,12,DLLLD
Willem II Tilburg,WII,34,6,8,20,26,34,56,-22,1.0,1.65,5,3,3,11,3,5,9,LDLLD
RKC Waalwijk,RKC,34,6,7,21,25,44,74,-30,1.29,2.18,4,5,3,9,1,4,12,LLWLW
Almere City FC,ALM,34,4,10,20,22,23,64,-41,0.68,1.88,7,2,5,10,2,5,10,LDLDD
