team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
PSV,PSV,26,22,2,2,68,75,31,44,2.88,1.19,6,10,2,1,12,0,1,WLWWW
Feyenoord Rotterdam,FEY,26,15,4,7,49,58,38,20,2.23,1.46,8,9,1,3,6,3,4,WWWLD
FC Twente '65,TWE,26,11,11,4,44,45,27,18,1.73,1.04,7,7,4,2,4,7,2,WDWWW
AFC Ajax,AJA,26,11,11,4,44,48,34,14,1.85,1.31,6,8,3,2,3,8,2,DWDDL
NEC,NEC,25,12,7,6,43,61,43,18,2.44,1.72,3,7,2,3,5,5,3,WLDDL
AZ,AZ,26,11,6,9,39,43,42,1,1.65,1.62,5,5,5,2,6,1,7,DWWLL
Sparta Rotterdam,SPA,26,11,5,10,38,33,43,-10,1.27,1.65,9,5,4,4,6,1,6,DDLLD
SC Heerenveen,HEE,26,10,7,9,37,44,44,0,1.69,1.69,2,5,5,3,5,2,6,WWLWW
FC Utrecht,UTR,26,9,8,9,35,38,31,7,1.46,1.19,5,6,3,4,3,5,5,WWDWD
FC Groningen,GRO,26,10,4,12,34,36,36,0,1.38,1.38,7,5,3,5,5,1,7,LLLLW
Fortuna Sittard,SIT,26,9,5,12,32,40,49,-9,1.54,1.88,3,6,3,4,3,2,8,DLWWL
PEC Zwolle,ZWO,26,7,8,11,29,35,51,-16,1.35,1.96,5,6,2,4,1,6,7,LLDDD
Go Ahead Eagles,GOA,26,6,11,9,29,39,43,-4,1.5,1.65,5,4,6,3,2,5,6,LLWWL
FC Volendam,VOL,25,7,6,12,27,29,41,-12,1.16,1.64,1,6,4,3,1,2,9,DWWLW
SBV Excelsior,EXC,26,7,5,14,26,27,44,-17,1.04,1.69,5,4,2,8,3,3,6,WLLLL
Telstar 1963,TEL,26,5,9,12,24,35,42,-7,1.35,1.62,4,2,5,6,3,4,6,DDLWW
NAC Breda,NAC,26,5,8,13,23,28,42,-14,1.08,1.62,4,4,4,6,1,4,7,LWWLD
Heracles Almelo,HER,26,5,3,18,18,32,65,-33,1.23,2.5,2,4,2,7,1,1,11,LLLLD
