team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Paris Saint-Germain FC,PSG,34,26,6,2,84,92,35,57,2.71,1.03,7,14,2,1,12,4,1,DLLWW
Olympique de Marseille,MAR,34,20,5,9,65,74,47,27,2.18,1.38,5,10,4,3,10,1,6,WWDWW
AS Monaco FC,ASM,34,18,7,9,61,63,41,22,1.85,1.21,11,12,3,2,6,4,7,DDWWL
OGC Nice,NIC,34,17,9,8,60,66,41,25,1.94,1.21,8,11,4,2,6,5,6,WWWLW
Lille OSC,LIL,34,17,9,8,60,52,36,16,1.53,1.06,11,11,4,2,6,5,6,WWDLW
Olympique Lyonnais,LYO,34,17,6,11,57,65,46,19,1.91,1.35,10,11,2,4,6,4,7,LWLLW
RC Strasbourg Alsace,RC ,34,16,9,9,57,56,44,12,1.65,1.29,10,10,5,2,6,4,7,DWWLL
Racing Club de Lens,RCL,34,15,7,12,52,42,39,3,1.24,1.15,13,7,2,8,8,5,4,WLWDW
Stade Brestois 29,BRE,34,15,5,14,50,52,59,-7,1.53,1.74,10,10,3,4,5,2,10,LLWWL
AJ Auxerre,AJA,34,11,9,14,42,48,51,-3,1.41,1.5,10,7,6,4,4,3,10,LWLDL
Toulouse FC,TOU,34,11,9,14,42,44,43,1,1.29,1.26,10,5,5,7,6,4,7,LDWDW
Stade Rennais FC 1901,REN,34,13,2,19,41,51,50,1,1.5,1.47,11,9,1,7,4,1,12,WLLWL
Angers SCO,ANG,34,10,6,18,36,32,53,-21,0.94,1.56,7,5,2,10,5,4,8,LLWWL
FC Nantes,NAN,34,8,12,14,36,39,52,-13,1.15,1.53,6,5,6,6,3,6,8,DDLDW
Le Havre AC,HAC,34,10,4,20,34,40,71,-31,1.18,2.09,4,3,2,12,7,2,8,LDWLW
Stade de Reims,SDR,34,8,9,17,33,33,47,-14,0.97,1.38,7,4,4,9,4,5,8,WDLLL
AS Saint-Étienne,ASS,33,7,6,20,27,37,77,-40,1.12,2.33,4,6,3,8,1,3,12,WLLWL
Montpellier HSC,MON,33,4,4,25,16,23,77,-54,0.7,2.33,1,3,4,9,1,0,16,LDLLL
