team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Paris Saint-Germain,34,26,6,2,84,92.0,35.0,57.0,17,14,17,12,82.4,70.6,68.41,68.29,68.53,2.64,2.87,2.41,5.41,5.65,5.18,3.38,3.76,3.0,18.68,20.82,16.53,,,,,,,,,,2.09,1.76,2.41,6.35,7.12,5.59,1.25,1.33,1.18,0.0,0.0,0.0,,,,656.03,657.94,654.12,,,,9.03,8.71,9.35,1.59,1.76,1.41,,,,,,,,,,,,,,,
Olympique de Marseille,34,20,5,9,65,74.0,47.0,27.0,17,10,17,10,58.8,58.8,63.59,64.24,62.94,1.91,2.32,1.51,3.18,3.76,2.59,1.79,2.18,1.41,14.44,15.35,13.53,,,,,,,,,,2.71,2.24,3.18,5.21,5.29,5.12,1.91,2.06,1.75,0.75,1.0,0.5,,,,576.88,584.06,569.71,,,,11.59,12.59,10.59,1.66,1.76,1.53,,,,,,,,,,,,,,,
AS Monaco,34,18,7,9,61,63.0,41.0,22.0,17,12,17,6,70.6,35.3,55.03,55.35,54.71,2.19,2.4,1.97,3.62,4.0,3.24,2.41,2.62,2.19,14.71,15.53,13.88,,,,,,,,,,2.62,3.12,2.12,5.41,4.76,6.06,1.94,1.94,1.94,0.57,0.25,1.0,,,,404.26,404.35,404.18,,,,13.59,13.18,14.0,2.09,2.06,2.12,,,,,,,,,,,,,,,
Lille,34,17,9,8,60,52.0,36.0,16.0,17,11,17,6,64.7,35.3,57.94,58.29,57.59,1.64,1.62,1.65,3.03,2.94,3.12,1.97,1.67,2.24,12.76,12.88,12.65,,,,,,,,,,2.82,2.53,3.12,4.94,5.06,4.82,2.26,1.82,2.71,0.22,0.0,0.25,,,,469.0,469.29,468.71,,,,12.06,11.76,12.35,1.5,1.75,1.25,,,,,,,,,,,,,,,
Nice,34,17,9,8,60,66.0,41.0,25.0,17,11,17,6,64.7,35.3,47.53,49.47,45.59,1.86,2.15,1.56,3.21,3.71,2.71,2.03,2.06,2.0,14.47,15.65,13.29,,,,,,,,,,3.56,2.82,4.29,5.0,5.76,4.24,1.82,1.53,2.12,0.56,0.5,0.6,,,,363.21,383.94,342.47,,,,11.5,11.65,11.35,1.93,1.53,2.36,,,,,,,,,,,,,,,
RC Strasbourg,34,16,9,9,57,56.0,44.0,12.0,17,10,17,6,58.8,35.3,50.15,48.76,51.53,1.42,1.42,1.43,2.91,3.29,2.53,1.79,2.0,1.56,10.47,10.53,10.41,,,,,,,,,,3.74,4.0,3.47,4.12,4.24,4.0,2.12,2.12,2.12,0.75,1.0,0.67,,,,411.15,397.29,425.0,,,,11.56,12.29,10.82,1.5,1.38,1.62,,,,,,,,,,,,,,,
Olympique Lyonnais,34,17,6,11,57,65.0,46.0,19.0,17,11,17,6,64.7,35.3,56.62,57.76,55.47,1.8,2.15,1.45,3.33,3.71,2.94,1.94,2.19,1.67,13.06,14.47,11.65,,,,,,,,,,3.53,3.71,3.35,5.44,5.53,5.35,1.91,1.81,2.0,0.0,0.0,,,,,446.56,455.29,437.82,,,,11.97,12.06,11.88,2.29,2.4,2.19,,,,,,,,,,,,,,,
RC Lens,34,15,7,12,52,42.0,39.0,3.0,17,7,17,8,41.2,47.1,54.06,56.71,51.41,1.58,1.76,1.39,2.73,3.19,2.29,1.93,2.31,1.5,14.38,16.29,12.47,,,,,,,,,,3.03,2.41,3.65,5.47,6.65,4.29,2.72,2.56,2.88,0.8,0.83,0.75,,,,409.62,430.65,388.59,,,,14.68,14.0,15.35,2.8,3.13,2.47,,,,,,,,,,,,,,,
Stade Brestois,34,15,5,14,50,52.0,59.0,-7.0,17,10,17,5,58.8,29.4,48.44,49.71,47.18,1.35,1.45,1.25,2.62,2.71,2.53,1.7,1.81,1.59,12.29,13.24,11.35,,,,,,,,,,2.53,2.18,2.88,4.18,4.06,4.29,2.09,1.75,2.41,0.75,1.0,0.0,,,,349.59,365.59,333.59,,,,12.65,12.06,13.24,1.31,1.44,1.19,,,,,,,,,,,,,,,
Auxerre,34,11,9,14,42,48.0,51.0,-3.0,17,7,17,4,41.2,23.5,42.47,41.29,43.65,1.23,1.32,1.13,1.94,1.94,1.94,1.0,1.12,0.88,11.18,11.76,10.59,,,,,,,,,,3.76,3.47,4.06,3.94,3.59,4.29,2.23,2.0,2.47,0.5,0.33,0.6,,,,300.0,293.12,306.88,,,,11.88,11.06,12.71,1.41,1.06,1.76,,,,,,,,,,,,,,,
