team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Montpellier,38,12,7,19,43,49.0,61.0,-12.0,19,7,19,5,36.8,26.3,48.13,50.0,46.26,,,,1.61,1.89,1.29,1.12,1.39,0.8,11.5,14.37,8.63,,,,,,,,,,4.13,3.95,4.32,4.68,5.53,3.84,2.03,1.95,2.11,0.9,0.5,1.17,,,,337.63,336.47,338.79,,,,10.82,11.21,10.42,1.43,1.39,1.47,,,,,,,,,,,,,,,
Angers,38,10,11,17,41,44.0,55.0,-11.0,19,8,19,2,42.1,10.5,48.58,50.26,46.89,,,,1.82,1.89,1.74,1.03,1.11,0.94,10.34,11.58,9.11,,,,,,,,,,2.76,2.37,3.16,4.89,5.42,4.37,1.89,1.89,1.89,0.4,0.4,0.4,,,,377.82,399.89,355.74,,,,12.39,12.74,12.05,1.21,1.05,1.37,,,,,,,,,,,,,,,
Troyes,38,9,11,18,38,37.0,53.0,-16.0,19,5,19,4,26.3,21.1,44.16,46.47,41.84,,,,1.62,1.72,1.53,1.09,1.13,1.06,10.16,11.47,8.84,,,,,,,,,,2.84,2.47,3.21,4.24,5.05,3.42,1.97,1.84,2.11,0.55,0.5,0.6,,,,317.95,339.84,296.05,,,,11.63,10.63,12.63,1.51,1.63,1.38,,,,,,,,,,,,,,,
Clermont Foot,38,9,9,20,36,38.0,69.0,-31.0,19,4,19,5,21.1,26.3,49.89,51.16,48.63,,,,1.69,1.76,1.61,1.09,1.2,1.0,11.53,12.26,10.79,,,,,,,,,,2.61,2.11,3.11,4.71,5.11,4.32,1.71,1.74,1.68,0.64,0.67,0.6,,,,385.16,384.53,385.79,,,,10.18,9.68,10.68,1.47,1.63,1.29,,,,,,,,,,,,,,,
Lorient,38,8,12,18,36,35.0,63.0,-28.0,19,6,19,2,31.6,10.5,44.21,43.05,45.37,,,,1.53,1.94,1.16,0.83,1.0,0.67,11.71,12.26,11.16,,,,,,,,,,2.46,2.37,2.56,4.26,5.16,3.37,1.86,1.74,2.0,0.31,0.25,0.4,,,,320.26,305.47,335.05,,,,12.5,13.37,11.63,1.53,1.72,1.33,,,,,,,,,,,,,,,
Saint-Étienne,40,7,13,20,34,44.0,79.0,-35.0,20,4,20,3,20.0,15.0,48.5,50.2,46.8,,,,1.59,1.95,1.21,1.14,1.39,0.89,11.7,13.5,9.9,,,,,,,,,,3.02,2.9,3.15,4.85,5.9,3.8,2.05,1.35,2.75,0.83,0.5,1.0,,,,335.6,351.6,319.6,,,,12.07,10.7,13.45,1.55,1.78,1.35,,,,,,,,,,,,,,,
Bordeaux,38,6,13,19,31,52.0,91.0,-39.0,19,3,19,3,15.8,15.8,47.18,48.42,45.95,,,,1.61,1.63,1.58,0.94,1.12,0.78,11.84,12.63,11.05,,,,,,,,,,2.97,2.95,3.0,3.95,4.89,3.0,2.56,2.67,2.44,0.5,0.25,0.67,,,,331.29,331.11,331.47,,,,12.11,12.11,12.11,1.66,2.0,1.33,,,,,,,,,,,,,,,
Metz,38,6,13,19,31,35.0,69.0,-34.0,19,3,19,3,15.8,15.8,42.76,44.63,40.89,,,,1.06,0.94,1.17,0.66,0.44,0.88,9.76,10.58,8.95,,,,,,,,,,2.97,3.16,2.79,3.74,3.37,4.11,2.54,2.5,2.58,0.9,1.0,0.67,,,,292.24,316.37,268.11,,,,13.53,13.47,13.58,1.33,1.44,1.22,,,,,,,,,,,,,,,
Sochaux,2,1,1,0,4,2.0,1.0,1.0,0,0,2,1,0,50.0,48.0,,48.0,,,,0.5,,0.5,0.5,,0.5,8.5,,8.5,,,,,,,,,,3.0,,3.0,3.0,,3.0,2.5,,2.5,0.0,,0.0,,,,425.0,,425.0,,,,10.5,,10.5,7.0,,7.0,,,,,,,,,,,,,,,
Auxerre,3,0,3,0,3,2.0,2.0,0.0,2,0,1,0,0.0,0.0,57.0,60.5,50.0,,,,1.33,1.5,1.0,1.33,1.5,1.0,15.67,17.0,13.0,,,,,,,,,,3.33,1.0,8.0,3.0,3.5,2.0,1.33,1.5,1.0,,,,,,,517.0,545.0,461.0,,,,13.33,14.5,11.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
Paris FC,1,0,0,1,0,1.0,2.0,-1.0,1,0,0,0,0.0,0,43.0,43.0,,,,,4.0,4.0,,3.0,3.0,,6.0,6.0,,,,,,,,,,,1.0,1.0,,6.0,6.0,,4.0,4.0,,1.0,1.0,,,,,302.0,302.0,,,,,6.0,6.0,,1.0,1.0,,,,,,,,,,,,,,,,
