team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Paris Saint-Germain FC,PSG,34,22,10,2,76,81,33,48,2.38,0.97,12,9,6,2,13,4,0,WDLWW
AS Monaco FC,ASM,34,20,7,7,67,68,42,26,2.0,1.24,12,10,3,4,10,4,3,WLWWW
Stade Brestois 29,BRE,34,17,10,7,61,53,34,19,1.56,1.0,15,8,7,2,9,3,5,LWDDW
Lille OSC,LIL,34,16,11,7,59,52,34,18,1.53,1.0,15,11,4,2,5,7,5,LWLWD
OGC Nice,NIC,34,15,10,9,55,40,29,11,1.18,0.85,17,9,4,4,6,6,5,DWWLD
Olympique Lyonnais,LYO,34,16,5,13,53,49,55,-6,1.44,1.62,10,7,4,6,9,1,7,LWWWW
Racing Club de Lens,RCL,34,14,9,11,51,45,37,8,1.32,1.09,14,9,4,4,5,5,7,WLWDD
Olympique de Marseille,MAR,34,13,11,10,50,52,41,11,1.53,1.21,7,10,6,1,3,5,9,DWWLW
Stade de Reims,SDR,34,13,8,13,47,42,47,-5,1.24,1.38,8,8,3,6,5,5,7,LLDWW
Stade Rennais FC 1901,REN,34,12,10,12,46,53,46,7,1.56,1.35,7,7,4,6,5,6,6,WLWDL
Toulouse FC,TOU,34,11,10,13,43,42,46,-4,1.24,1.35,6,3,7,7,8,3,6,DWLWL
Montpellier HSC,MON,34,10,12,12,42,43,48,-5,1.26,1.41,10,3,9,5,7,3,7,WDWLD
RC Strasbourg Alsace,RC ,34,10,9,15,39,38,50,-12,1.12,1.47,5,7,3,7,3,6,8,LLLWL
FC Nantes,NAN,34,9,6,19,33,30,55,-25,0.88,1.62,8,3,3,11,6,3,8,LDDLL
Le Havre AC,HAC,34,7,11,16,32,34,45,-11,1.0,1.32,7,6,2,9,1,9,7,LDWLL
FC Metz,FCM,34,8,5,21,29,35,58,-23,1.03,1.71,6,3,3,11,5,2,10,WLLLL
FC Lorient,FCL,34,7,8,19,29,43,66,-23,1.26,1.94,4,4,4,9,3,4,10,LLLLW
Clermont Foot 63,CLF,34,5,10,19,25,26,60,-34,0.76,1.76,5,3,5,9,2,5,10,LWLLL
