match_id,season,matchday,date,status,stage,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,duration,referee
445409,2023,1,2023-08-11,FINISHED,REGULAR_SEASON,Sporting Clube de Braga,Braga,SCB,FC Famalicão,Famalicão,FAM,1,2,1,0,AWAY_TEAM,REGULAR,Fábio Veríssimo
445407,2023,1,2023-08-12,FINISHED,REGULAR_SEASON,Gil Vicente FC,Gil Vicente,GIL,Portimonense SC,Portimonense,PSC,5,0,2,0,HOME_TEAM,REGULAR,Claudio Pereira
445408,2023,1,2023-08-12,FINISHED,REGULAR_SEASON,SC Farense,Farense,FAR,Casa Pia AC,Casa Pia,CAS,0,3,0,1,AWAY_TEAM,REGULAR,Bruno Vieira
445410,2023,1,2023-08-12,FINISHED,REGULAR_SEASON,Sporting Clube de Portugal,Sporting CP,SPO,FC Vizela,Vizela,VIZ,3,2,2,0,HOME_TEAM,REGULAR,Fabio Melo
445406,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,Rio Ave FC,Rio Ave,RIO,GD Chaves,Chaves,CHA,2,0,0,0,HOME_TEAM,REGULAR,Ricardo Baixinho
445403,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,CF Estrela da Amadora,Amadora,AMA,Vitória SC,Vitória SC,GUI,0,1,0,1,AWAY_TEAM,REGULAR,Manuel Oliveira
445404,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,FC Arouca,Arouca,FCA,GD Estoril Praia,Estoril Praia,EST,4,3,1,1,HOME_TEAM,REGULAR,Hélder Carvalho
445405,2023,1,2023-08-14,FINISHED,REGULAR_SEASON,Moreirense FC,Moreirense,MOR,FC Porto,Porto,FCP,1,2,0,0,AWAY_TEAM,REGULAR,Hélder Malheiro
445402,2023,1,2023-08-14,FINISHED,REGULAR_SEASON,Boavista FC,Boavista,BOA,Sport Lisboa e Benfica,SL Benfica,BEN,3,2,0,1,HOME_TEAM,REGULAR,António Nobre
445412,2023,2,2023-08-18,FINISHED,REGULAR_SEASON,Casa Pia AC,Casa Pia,CAS,Sporting Clube de Portugal,Sporting CP,SPO,1,2,0,1,AWAY_TEAM,REGULAR,Nuno Almeida
