team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
FC Internazionale Milano,INT,38,29,7,2,94,89,22,67,2.34,0.58,21,14,4,1,15,3,1,WLWDD
AC Milan,MIL,38,22,9,7,75,76,49,27,2.0,1.29,13,12,4,3,10,5,4,DDWLD
Juventus FC,JUV,38,19,14,5,71,54,31,23,1.42,0.82,17,11,7,1,8,7,4,DDDDW
Atalanta BC,ATA,38,21,6,11,69,72,42,30,1.89,1.11,15,13,2,4,8,4,7,WWWWL
Bologna FC 1909,BOL,38,18,14,6,68,54,32,22,1.42,0.84,17,12,5,2,6,9,4,DDWDL
AS Roma,ROM,38,18,9,11,63,65,46,19,1.71,1.21,11,12,4,3,6,5,8,DDLWL
SS Lazio,LAZ,38,18,7,13,61,49,39,10,1.29,1.03,13,10,4,5,8,3,8,WDWDD
ACF Fiorentina,FIO,38,17,9,12,60,61,46,15,1.61,1.21,8,10,5,4,7,4,8,LWDWW
Torino FC,TOR,38,13,14,11,53,36,36,0,0.95,0.95,18,8,9,2,5,5,9,LDWWL
SSC Napoli,NAP,38,13,14,11,53,55,48,7,1.45,1.26,7,6,7,6,7,7,5,DDLDD
Genoa CFC,GEN,38,12,13,13,49,45,45,0,1.18,1.18,9,8,6,5,4,7,8,WDWLW
AC Monza,MON,38,11,12,15,45,39,51,-12,1.03,1.34,12,6,6,7,5,6,8,DDLLL
US Lecce,USL,38,8,14,16,38,32,54,-22,0.84,1.42,7,6,6,7,2,8,9,DDLLD
Hellas Verona FC,HVE,38,9,11,18,38,38,51,-13,1.0,1.34,8,6,6,7,3,5,11,LWLWD
Udinese Calcio,UDI,38,6,19,13,37,37,53,-16,0.97,1.39,9,1,11,7,5,8,6,DDWDW
Cagliari Calcio,CAG,38,8,12,18,36,42,68,-26,1.11,1.79,5,6,7,6,2,5,12,LDLWL
Empoli FC,EMP,38,9,9,20,36,29,54,-25,0.76,1.42,9,5,5,9,4,4,11,LDLDW
Frosinone Calcio,FRO,38,8,11,19,35,44,69,-25,1.16,1.82,7,7,4,8,1,7,11,WDLWL
US Sassuolo Calcio,SAS,38,7,9,22,30,43,75,-32,1.13,1.97,3,5,5,9,2,4,13,LWLLD
US Salernitana 1919,SAL,38,2,11,25,17,32,81,-49,0.84,2.13,2,1,5,13,1,6,12,LLDLD
