team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
FC Internazionale Milano,INT,28,22,1,5,67,64,22,42,2.29,0.79,15,11,1,2,11,0,3,WWWWL
AC Milan,MIL,28,17,9,2,60,44,20,24,1.57,0.71,13,8,4,2,9,5,0,WDLWW
SSC Napoli,NAP,28,17,5,6,56,43,29,14,1.54,1.04,9,9,4,0,8,1,6,WDLWW
AS Roma,ROM,28,16,3,9,51,38,21,17,1.36,0.75,12,9,2,3,7,1,6,WDWDL
Como 1907,COM,28,14,9,5,51,46,21,25,1.64,0.75,13,7,5,2,7,4,3,LDWWW
Juventus FC,JUV,28,14,8,6,50,50,28,22,1.79,1.0,10,8,5,1,6,3,5,DLLDW
Atalanta BC,ATA,28,12,10,6,46,39,26,13,1.39,0.93,10,8,5,2,4,5,4,WWWLD
Bologna FC 1909,BOL,28,11,6,11,39,37,34,3,1.32,1.21,8,5,2,7,6,4,4,LWWWL
US Sassuolo Calcio,SAS,28,11,5,12,38,35,38,-3,1.25,1.36,6,6,2,6,5,3,6,LWWWL
SS Lazio,LAZ,28,9,10,9,37,28,28,0,1.0,1.0,12,6,4,4,3,6,5,DLDLW
Udinese Calcio,UDI,28,10,6,12,36,33,41,-8,1.18,1.46,6,5,4,5,5,2,7,LLLWD
Parma Calcio 1913,PAR,28,8,10,10,34,20,32,-12,0.71,1.14,10,3,5,6,5,5,4,WWWDD
Torino FC,TOR,28,8,6,14,30,28,49,-21,1.0,1.75,10,5,2,7,3,4,7,DLLWL
Genoa CFC,GEN,28,7,9,12,30,34,40,-6,1.21,1.43,6,5,4,6,2,5,6,LDWLW
Cagliari Calcio,CAG,28,7,9,12,30,30,38,-8,1.07,1.36,6,4,4,6,3,5,6,LLDDL
US Lecce,USL,28,7,6,15,27,20,37,-17,0.71,1.32,8,4,4,7,3,2,8,WWLLW
ACF Fiorentina,FIO,28,5,10,13,25,30,42,-12,1.07,1.5,5,3,5,6,2,5,7,DWWLD
US Cremonese,CRE,28,5,9,14,24,22,40,-18,0.79,1.43,7,2,6,5,3,3,9,LDLLL
Hellas Verona FC,HVE,28,3,9,16,18,22,49,-27,0.79,1.75,5,1,4,8,2,5,8,DLLLW
AC Pisa 1909,PIS,28,1,12,15,15,20,48,-28,0.71,1.71,5,1,4,9,0,8,6,DLLLL
