team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Barcelona,27,22,1,4,67,72.0,26.0,46.0,13,13,14,9,100.0,64.3,69.22,69.69,68.79,2.52,2.53,2.52,4.59,4.77,4.43,2.85,2.62,3.07,20.07,20.46,19.71,,,,,,,,,,2.74,1.85,3.57,7.41,8.0,6.86,1.65,1.08,2.14,0.29,0.0,0.33,,,,590.19,620.15,562.36,,,,9.26,9.23,9.29,2.19,2.62,1.79,,,,,,,,,,,,,,,
Real Madrid,27,20,3,4,63,56.0,23.0,33.0,13,11,14,9,84.6,64.3,59.85,61.23,58.57,2.24,2.49,2.01,3.48,4.08,2.93,2.32,2.83,1.85,18.26,19.38,17.21,,,,,,,,,,2.11,2.15,2.07,6.56,6.85,6.29,1.89,2.38,1.43,0.6,0.71,0.33,,,,531.63,557.54,507.57,,,,10.11,10.38,9.86,1.79,2.09,1.54,,,,,,,,,,,,,,,
Villarreal,27,17,3,7,54,50.0,32.0,18.0,14,11,13,6,78.6,46.2,43.56,47.93,38.85,1.55,1.68,1.41,2.93,3.07,2.77,1.92,2.0,1.83,12.04,14.43,9.46,,,,,,,,,,2.56,2.5,2.62,4.0,5.21,2.69,2.33,1.57,3.15,0.5,0.25,1.0,,,,327.19,361.36,290.38,,,,12.63,12.29,13.0,2.43,2.83,2.0,,,,,,,,,,,,,,,
Atlético Madrid,27,16,6,5,54,46.0,25.0,21.0,14,12,13,4,85.7,30.8,55.04,56.29,53.69,1.57,2.15,0.96,3.15,4.21,1.92,2.08,2.62,1.5,13.59,16.29,10.69,,,,,,,,,,2.19,1.14,3.31,6.78,8.21,5.23,1.88,1.79,2.0,1.0,,1.0,,,,450.48,470.29,429.15,,,,11.04,10.0,12.15,2.32,2.5,2.15,,,,,,,,,,,,,,,
Real Betis,27,11,10,6,43,42.0,34.0,8.0,13,7,14,4,53.8,28.6,49.74,50.38,49.14,1.54,1.74,1.34,2.63,2.92,2.36,1.65,1.75,1.57,14.52,15.46,13.64,,,,,,,,,,3.11,2.92,3.29,4.59,4.38,4.79,2.0,1.92,2.07,0.25,0.33,0.0,,,,386.41,398.23,375.43,,,,10.44,10.92,10.0,1.56,2.08,1.07,,,,,,,,,,,,,,,
Celta Vigo,27,10,10,7,40,37.0,30.0,7.0,14,4,13,6,28.6,46.2,50.48,52.21,48.62,1.38,1.5,1.25,2.35,2.57,2.08,1.36,1.54,1.17,10.93,12.0,9.77,,,,,,,,,,2.85,2.36,3.38,4.15,4.71,3.54,1.85,1.71,2.0,0.14,0.25,0.0,,,,428.96,461.79,393.62,,,,11.22,10.0,12.54,2.08,2.17,2.0,,,,,,,,,,,,,,,
Espanyol,26,10,6,10,36,33.0,39.0,-6.0,13,6,13,4,46.2,30.8,41.88,42.92,40.85,1.32,1.44,1.2,2.12,2.69,1.54,1.52,2.08,1.0,12.38,12.08,12.69,,,,,,,,,,3.15,3.15,3.15,4.27,4.46,4.08,2.15,2.23,2.08,0.75,1.0,0.5,,,,280.81,291.54,270.08,,,,13.12,13.23,13.0,1.58,1.69,1.45,,,,,,,,,,,,,,,
Athletic Club,27,10,5,12,35,30.0,37.0,-7.0,14,7,13,3,50.0,23.1,48.85,50.21,47.38,1.42,1.54,1.3,2.38,2.71,2.0,1.58,1.79,1.33,14.07,14.93,13.15,,,,,,,,,,2.81,2.43,3.23,5.26,5.43,5.08,2.26,2.07,2.46,0.67,0.2,1.25,,,,324.59,341.21,306.69,,,,13.78,13.71,13.85,1.44,1.64,1.23,,,,,,,,,,,,,,,
Real Sociedad,27,9,8,10,35,40.0,41.0,-1.0,13,6,14,3,46.2,21.4,49.78,49.54,50.0,1.38,1.61,1.17,2.69,3.08,2.31,1.77,1.77,1.77,12.78,12.85,12.71,,,,,,,,,,2.41,2.38,2.43,5.74,5.92,5.57,2.0,1.85,2.14,0.5,0.67,0.33,,,,358.56,342.85,373.14,,,,14.63,14.69,14.57,2.23,1.83,2.57,,,,,,,,,,,,,,,
Osasuna,27,9,7,11,34,32.0,32.0,0.0,13,7,14,2,53.8,14.3,45.0,47.77,42.43,1.19,1.44,0.95,1.67,2.23,1.14,1.04,1.08,1.0,11.22,13.77,8.86,,,,,,,,,,3.58,3.23,3.92,3.37,3.85,2.93,2.48,2.15,2.79,0.71,0.75,0.67,,,,298.33,313.23,284.5,,,,13.44,14.0,12.93,1.54,1.25,1.83,,,,,,,,,,,,,,,
