match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
11388384,2024-05-19,23/24,34,finished,Feyenoord,Feyenoord,feyenoord,Excelsior,Excelsior,excelsior,4,0,REGULAR,HOME_TEAM,,,True,67,33,2.85,0.32,7,0,4,0,23,7,,,,,,,1,3,10,6,4,5,,,,,,,493,193,,,,,27,24,,,5,3,,,,,,,,,,,5,5,1,3,16,12,5,12
11388385,2024-05-03,23/24,32,finished,Almere City FC,Almere,almere-city-fc,SC Heerenveen,Heerenveen,sc-heerenveen,1,1,REGULAR,DRAW,,,True,44,56,1.79,1.94,2,2,1,2,13,18,,,,,,,3,3,3,9,6,14,2,0,1,0,,,250,340,,,,,20,36,,,3,4,,,,,,,,,,,14,6,3,1,28,19,7,11
11388386,2024-05-12,23/24,33,finished,Excelsior,Excelsior,excelsior,Heracles Almelo,Heracles,heracles-almelo,4,0,REGULAR,HOME_TEAM,,,True,60,40,3.8,0.41,7,1,4,1,20,6,,,,,,,0,5,7,4,16,5,3,3,,,,,422,251,,,,,33,25,,,5,2,,,,,,,,,,,5,16,2,2,22,13,7,12
11388387,2024-05-19,23/24,34,finished,FC Volendam,Volendam,fc-volendam,Go Ahead Eagles,GA Eagles,go-ahead-eagles,1,2,REGULAR,AWAY_TEAM,,,True,46,54,1.37,2.87,2,6,2,4,14,21,,,,,,,8,3,5,8,8,7,0,1,,,,,294,371,,,,,26,31,,,6,0,,,,,,,,,,,7,8,2,2,16,23,4,15
11388388,2024-05-05,23/24,32,finished,PSV Eindhoven,PSV,psv-eindhoven,Sparta Rotterdam,Sparta,sparta-rotterdam,4,2,REGULAR,HOME_TEAM,,,True,68,32,2.37,0.61,4,0,1,0,18,7,,,,,,,1,3,3,4,9,7,0,1,,,,,539,208,,,,,26,22,,,4,0,,,,,,,,,,,8,9,0,2,17,10,4,11
11388389,2024-05-19,23/24,34,finished,Heracles Almelo,Heracles,heracles-almelo,Fortuna Sittard,Fortuna,fortuna-sittard,0,0,REGULAR,DRAW,,,True,58,42,0.35,0.54,0,1,0,1,9,12,,,,,,,4,3,4,6,5,15,1,0,,,,,356,231,,,,,33,20,,,3,2,,,,,,,,,,,15,7,1,2,21,28,7,5
11388390,2024-05-19,23/24,34,finished,AZ Alkmaar,AZ,az-alkmaar,FC Utrecht,Utrecht,fc-utrecht,3,3,REGULAR,DRAW,,,True,37,63,0.65,2.75,3,4,0,2,7,21,,,,,,,8,1,3,14,3,8,2,0,1,0,,,219,443,,,,,19,38,,,4,9,,,,,,,,,,,8,3,2,3,17,19,8,6
11388391,2024-05-12,23/24,33,finished,NEC Nijmegen,NEC,nec-nijmegen,Feyenoord,Feyenoord,feyenoord,2,3,REGULAR,AWAY_TEAM,,,True,32,68,2,3.97,3,6,2,4,12,21,,,,,,,2,4,7,9,16,9,0,3,1,0,,,197,529,,,,,24,26,,,3,3,,,,,,,,,,,9,16,1,2,8,11,9,8
11388392,2024-05-19,23/24,34,finished,PSV Eindhoven,PSV,psv-eindhoven,RKC Waalwijk,Waalwijk,rkc-waalwijk,3,1,REGULAR,HOME_TEAM,,,True,76,24,4,0.53,7,1,5,0,34,5,,,,,,,1,7,14,3,11,5,0,5,0,1,,,527,133,,,,,18,20,,,15,1,,,,,,,,,,,5,12,1,0,22,15,4,9
11388393,2024-05-19,23/24,34,finished,Almere City FC,Almere,almere-city-fc,NEC Nijmegen,NEC,nec-nijmegen,1,4,REGULAR,AWAY_TEAM,,,True,46,54,0.99,3.2,0,6,0,3,15,20,,,,,,,6,3,6,7,7,13,1,0,,,,,268,343,,,,,35,26,,,3,4,,,,,,,,,,,13,9,,,17,20,9,10
