team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Real Madrid CF,RMA,13,10,3,0,33,28,15,13,2.15,1.15,4,4,2,0,6,1,0,DWDWW
Manchester City FC,MCI,10,8,1,1,25,28,13,15,2.8,1.3,1,4,0,1,4,1,0,WWWDL
Borussia Dortmund,BVB,13,7,3,3,24,17,11,6,1.31,0.85,6,4,2,1,3,1,2,LWWWL
FC Bayern München,FCB,12,7,3,2,24,21,13,8,1.75,1.08,4,4,2,0,3,1,2,WDWDL
Club Atlético de Madrid,ATL,10,6,2,2,20,23,13,10,2.3,1.3,2,5,0,0,1,2,2,WLWWL
FC Barcelona,FCB,10,6,1,3,19,20,14,6,2.0,1.4,2,4,0,1,2,1,2,LDWWL
Arsenal FC,ARS,10,5,2,3,17,19,8,11,1.9,0.8,4,4,1,0,1,1,3,DLWDL
Paris Saint-Germain FC,PSG,12,5,2,5,17,19,15,4,1.58,1.25,3,3,1,2,2,1,3,WLWLL
FC Porto,FCP,8,5,0,3,15,16,9,7,2.0,1.12,2,3,0,1,2,0,2,WLWWL
FC Internazionale Milano,INT,8,4,3,1,15,10,7,3,1.25,0.88,4,3,1,0,1,2,1,WDDWL
RB Leipzig,RBL,8,4,1,3,13,14,12,2,1.75,1.5,0,2,0,2,2,1,1,WLWLD
SS Lazio,LAZ,8,4,1,3,13,8,10,-2,1.0,1.25,3,3,1,0,1,0,3,WWLWL
Real Sociedad de Fútbol,RSO,8,3,3,2,12,8,6,2,1.0,0.75,4,1,2,1,2,1,1,WDDLL
SSC Napoli,NAP,8,3,2,3,11,12,13,-1,1.5,1.62,2,1,2,1,2,0,2,DLWDL
PSV,PSV,8,2,4,2,10,9,13,-4,1.12,1.62,1,1,3,0,1,1,2,WWDDL
FK Shakhtar Donetsk,SHD,6,3,0,3,9,10,12,-2,1.67,2.0,2,2,0,1,1,0,2,WLWWL
Racing Club de Lens,RCL,6,2,2,2,8,6,11,-5,1.0,1.83,0,2,1,0,0,1,2,WDLLW
FC København,KOB,8,2,2,4,8,10,14,-4,1.25,1.75,2,2,0,2,0,2,2,WDWLL
AC Milan,MIL,6,2,2,2,8,5,8,-3,0.83,1.33,2,1,1,1,1,1,1,DLWLW
Feyenoord Rotterdam,FEY,6,2,0,4,6,9,10,-1,1.5,1.67,1,2,0,1,0,0,3,LWLLL
Newcastle United FC,NEW,6,1,2,3,5,6,7,-1,1.0,1.17,1,1,0,2,0,2,1,WLLDL
Galatasaray SK,GAL,6,1,2,3,5,10,13,-3,1.67,2.17,0,0,2,1,1,0,2,WLLDL
BSC Young Boys,YOB,6,1,1,4,4,7,13,-6,1.17,2.17,1,1,0,2,0,1,2,DLLWL
FC Red Bull Salzburg,RBS,6,1,1,4,4,4,8,-4,0.67,1.33,2,0,0,3,1,1,1,LLLDL
Sporting Clube de Braga,SCB,6,1,1,4,4,6,12,-6,1.0,2.0,0,0,1,2,1,0,2,WLLDL
Sport Lisboa e Benfica,BEN,6,1,1,4,4,7,11,-4,1.17,1.83,0,0,1,2,1,0,2,LLLDW
Celtic FC,CEL,6,1,1,4,4,5,15,-10,0.83,2.5,0,1,1,1,0,0,3,LDLLW
Manchester United FC,MUN,6,1,1,4,4,12,15,-3,2.0,2.5,1,1,0,2,0,1,2,LWLDL
Royal Antwerp FC,ANT,6,1,0,5,3,6,17,-11,1.0,2.83,0,1,0,2,0,0,3,LLLLW
1. FC Union Berlin,UNB,6,0,2,4,2,6,10,-4,1.0,1.67,0,0,0,3,0,2,1,LLDDL
Sevilla FC,SEV,6,0,2,4,2,7,12,-5,1.17,2.0,0,0,1,2,0,1,2,DLLLL
FK Crvena Zvezda,CRV,6,0,1,5,1,7,15,-8,1.17,2.5,0,0,1,2,0,0,3,DLLLL
