team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Arsenal FC,ARS,8,8,0,0,24,23,4,19,2.88,0.5,5,4,0,0,4,0,0,WWWWW
FC Bayern München,FCB,8,7,0,1,21,22,8,14,2.75,1.0,2,4,0,0,3,0,1,WLWWW
Real Madrid CF,RMA,10,7,0,3,21,24,13,11,2.4,1.3,3,4,0,1,3,0,2,LWLWW
Newcastle United FC,NEW,10,6,2,2,20,26,10,16,2.6,1.0,4,4,0,1,2,2,1,DWDWW
Paris Saint-Germain FC,PSG,10,5,3,2,18,26,15,11,2.6,1.5,2,2,2,1,3,1,1,DLDWD
Liverpool FC,LIV,8,6,0,2,18,20,8,12,2.5,1.0,4,3,0,1,3,0,1,WLWWW
Club Atlético de Madrid,ATL,10,5,2,3,17,24,19,5,2.4,1.9,0,4,0,1,1,2,2,WDLDW
Tottenham Hotspur FC,TOT,8,5,2,1,17,17,7,10,2.12,0.88,6,4,0,0,1,2,1,WLWWW
FC Barcelona,FCB,8,5,1,2,16,22,14,8,2.75,1.75,0,3,0,1,2,1,1,DLWWW
Juventus FC,JUV,10,4,4,2,16,19,17,2,1.9,1.7,3,3,2,0,1,2,2,WWDLW
Atalanta BC,ATA,10,5,1,4,16,14,13,1,1.4,1.3,3,3,1,1,2,0,3,WLLLW
Bayer 04 Leverkusen,B04,10,4,4,2,16,15,14,1,1.5,1.4,5,1,3,1,3,1,1,DLWWD
Chelsea FC,CHE,8,5,1,2,16,17,10,7,2.12,1.25,3,4,0,0,1,1,2,DWLWW
Manchester City FC,MCI,8,5,1,2,16,15,9,6,1.88,1.12,3,3,0,1,2,1,1,WLWLW
Sporting Clube de Portugal,SPO,8,5,1,2,16,17,11,6,2.12,1.38,1,4,0,0,1,1,2,DWLWW
FC Internazionale Milano,INT,10,5,0,5,15,17,12,5,1.7,1.2,4,2,0,3,3,0,2,LLWLL
FK Bodø/Glimt,FK,10,4,3,3,15,19,17,2,1.9,1.7,0,2,1,2,2,2,1,DWWWW
Borussia Dortmund,BVB,10,4,2,4,14,22,21,1,2.2,2.1,2,3,1,1,1,1,3,DLLWL
Galatasaray SK,GAL,10,4,1,5,13,16,16,0,1.6,1.6,2,3,1,1,1,0,4,LDLWL
PAE Olympiakos SFP,OLY,10,3,3,4,12,10,16,-6,1.0,1.6,4,1,2,2,2,1,2,WWWLD
Club Brugge KV,BRU,10,3,2,5,11,19,24,-5,1.9,2.4,1,2,2,1,1,0,4,LWWDL
AS Monaco FC,ASM,10,2,5,3,11,12,19,-7,1.2,1.9,4,1,3,1,1,2,2,WLDLD
Qarabağ Ağdam FK,QAR,10,3,1,6,10,16,30,-14,1.6,3.0,1,2,1,2,1,0,4,LWLLL
Sport Lisboa e Benfica,BEN,10,3,0,7,9,11,15,-4,1.1,1.5,2,2,0,3,1,0,4,WLWLL
Olympique de Marseille,MAR,8,3,0,5,9,11,14,-3,1.38,1.75,1,2,0,2,1,0,3,LWWLL
Paphos FC,AEP,8,2,3,3,9,8,11,-3,1.0,1.38,3,2,1,1,0,2,2,WDLLW
Royale Union Saint-Gilloise,USG,8,3,0,5,9,8,17,-9,1.0,2.12,2,1,0,3,2,0,2,LWLLW
PSV,PSV,8,2,2,4,8,16,16,0,2.0,2.0,0,1,0,3,1,2,1,DWLLL
Athletic Club,ATH,8,2,2,4,8,9,14,-5,1.12,1.75,2,1,1,2,1,1,2,LDDWL
SSC Napoli,NAP,8,2,2,4,8,9,15,-6,1.12,1.88,2,2,1,1,0,1,3,DWLDL
FC København,KOB,8,2,2,4,8,12,21,-9,1.5,2.62,0,1,2,1,1,0,3,LWWDL
AFC Ajax,AJA,8,2,0,6,6,8,21,-13,1.0,2.62,0,0,0,4,2,0,2,LLWWL
Eintracht Frankfurt,SGE,8,1,1,6,4,10,21,-11,1.25,2.62,1,1,0,3,0,1,3,DLLLL
SK Slavia Praha,SLP,8,0,3,5,3,5,19,-14,0.62,2.38,2,0,2,2,0,1,3,LDLLL
FK Kairat,KAI,8,0,1,7,1,7,22,-15,0.88,2.75,1,0,1,3,0,0,4,LLLLL
Villarreal CF,VIL,8,0,1,7,1,5,18,-13,0.62,2.25,0,0,1,3,0,0,4,LLLLL
