team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Bayer 04 Leverkusen,B04,34,28,6,0,90,89,24,65,2.62,0.71,16,14,3,0,14,3,0,DDWWW
VfB Stuttgart,VFB,34,23,4,7,73,78,39,39,2.29,1.15,12,13,3,1,10,1,6,LDWWW
FC Bayern München,FCB,34,23,3,8,72,94,45,49,2.76,1.32,11,14,1,2,9,2,6,WWLWL
RB Leipzig,RBL,34,19,8,7,65,77,39,38,2.26,1.15,10,11,4,2,8,4,5,WWDDD
Borussia Dortmund,BVB,34,18,9,7,63,68,43,25,2.0,1.26,10,10,3,4,8,6,3,DLWLW
Eintracht Frankfurt,SGE,34,11,14,9,47,51,50,1,1.5,1.47,7,7,8,2,4,6,7,WLLDD
TSG 1899 Hoffenheim,TSG,34,13,7,14,46,66,66,0,1.94,1.94,2,6,5,6,7,2,8,WLDWW
1. FC Heidenheim 1846,HEI,34,10,12,12,42,50,55,-5,1.47,1.62,6,7,5,5,3,7,7,LWDDW
SV Werder Bremen,SVW,34,11,9,14,42,48,54,-6,1.41,1.59,7,7,4,6,4,5,8,WWDDW
SC Freiburg,SCF,34,11,9,14,42,45,58,-13,1.32,1.71,10,5,7,5,6,2,9,DLDDL
FC Augsburg,FCA,34,10,9,15,39,50,60,-10,1.47,1.76,3,6,6,5,4,3,10,LLLLL
VfL Wolfsburg,WOB,34,10,7,17,37,41,56,-15,1.21,1.65,6,6,4,7,4,3,10,WWWLL
1. FSV Mainz 05,M05,34,7,14,13,35,39,51,-12,1.15,1.5,8,6,5,6,1,9,7,DDDWW
Borussia Mönchengladbach,BMG,34,7,13,14,34,56,67,-11,1.65,1.97,4,5,6,6,2,7,8,LDDDL
VfL Bochum 1848,BOC,34,7,12,15,33,42,74,-32,1.24,2.18,4,5,8,4,2,4,11,LWWLL
1. FC Union Berlin,UNB,34,9,6,19,33,33,58,-25,0.97,1.71,7,7,2,8,2,4,11,LDLLW
1. FC Köln,KOE,34,5,12,17,27,28,60,-32,0.82,1.76,4,4,4,9,1,8,8,LDDWL
SV Darmstadt 98,SVD,34,3,8,23,17,30,86,-56,0.88,2.53,3,1,3,13,2,5,10,WLLLL
