team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Borussia Dortmund,34,22,5,7,71,83.0,44.0,39.0,17,14,17,8,82.4,47.1,58.47,58.0,58.94,2.13,2.36,1.89,3.53,3.88,3.18,2.26,2.12,2.41,16.59,16.76,16.41,,,,,,,,,,3.18,2.59,3.76,6.68,6.35,7.0,1.94,1.94,1.94,0.0,0.0,0.0,,,,454.88,449.65,460.12,,,,9.47,9.41,9.53,1.24,1.31,1.18,,,,,,,,,,,,,,,
FC Bayern München,34,21,8,5,71,92.0,38.0,54.0,17,11,17,10,64.7,58.8,64.62,66.29,62.94,2.24,2.67,1.81,3.88,4.29,3.47,2.62,2.65,2.6,18.47,21.53,15.41,,,,,,,,,,2.03,1.47,2.59,6.74,8.24,5.24,1.69,1.47,1.93,1.0,,1.0,,,,542.68,566.12,519.24,,,,9.0,8.76,9.24,2.58,2.75,2.41,,,,,,,,,,,,,,,
RB Leipzig,34,20,6,8,66,64.0,41.0,23.0,17,13,17,7,76.5,41.2,58.35,56.0,60.71,1.88,1.95,1.8,3.21,3.47,2.94,2.0,2.0,2.0,14.82,13.41,16.24,,,,,,,,,,2.03,1.94,2.12,4.91,4.76,5.06,2.09,1.94,2.24,0.67,1.0,0.5,,,,467.88,457.41,478.35,,,,11.59,11.59,11.59,2.42,2.76,2.06,,,,,,,,,,,,,,,
1. FC Union Berlin,34,18,8,8,62,51.0,38.0,13.0,17,11,17,7,64.7,41.2,43.44,42.71,44.18,1.13,1.21,1.05,1.35,1.53,1.19,0.84,0.69,1.0,11.21,12.82,9.59,,,,,,,,,,3.24,3.25,3.24,4.85,5.29,4.41,2.03,1.69,2.38,0.4,1.0,0.25,,,,275.85,260.06,291.65,,,,13.09,13.76,12.41,2.0,2.25,1.73,,,,,,,,,,,,,,,
SC Freiburg,34,17,8,9,59,51.0,44.0,7.0,17,10,17,7,58.8,41.2,48.0,49.24,46.76,1.43,1.65,1.21,2.12,2.82,1.41,1.3,1.88,0.69,12.38,14.06,10.71,,,,,,,,,,3.21,2.88,3.53,4.15,3.94,4.35,1.88,1.59,2.19,0.29,0.25,0.33,,,,321.32,335.76,306.88,,,,11.88,12.18,11.59,1.78,2.2,1.41,,,,,,,,,,,,,,,
Eintracht Frankfurt,34,13,11,10,50,58.0,52.0,6.0,17,9,17,4,52.9,23.5,53.06,53.76,52.35,1.54,1.86,1.23,2.36,3.06,1.71,1.37,1.73,1.0,11.91,13.24,10.59,,,,,,,,,,2.5,2.12,2.88,5.56,5.94,5.18,2.12,1.88,2.35,0.33,0.5,0.0,,,,382.88,404.65,361.12,,,,12.62,12.12,13.12,2.06,2.47,1.65,,,,,,,,,,,,,,,
Bayer 04 Leverkusen,34,14,8,12,50,57.0,49.0,8.0,17,8,17,6,47.1,35.3,52.15,53.76,50.53,1.53,1.76,1.3,2.27,2.59,1.94,1.46,1.62,1.33,12.91,14.59,11.24,,,,,,,,,,2.91,2.24,3.59,4.09,4.71,3.47,2.3,1.94,2.69,1.0,0.67,1.25,,,,406.06,418.41,393.71,,,,11.24,11.29,11.18,1.59,1.82,1.33,,,,,,,,,,,,,,,
VfL Wolfsburg,34,13,10,11,49,57.0,48.0,9.0,17,6,17,7,35.3,41.2,50.71,53.88,47.53,1.54,1.86,1.21,2.38,2.82,1.94,1.5,1.62,1.38,12.03,14.71,9.35,,,,,,,,,,3.03,2.24,3.82,4.5,4.82,4.18,1.91,1.76,2.06,0.0,0.0,0.0,,,,341.79,392.35,291.24,,,,11.47,11.47,11.47,1.47,1.41,1.53,,,,,,,,,,,,,,,
1. FSV Mainz 05,34,12,10,12,46,54.0,55.0,-1.0,17,6,17,6,35.3,35.3,44.44,46.71,42.18,1.41,1.4,1.42,2.16,2.4,1.94,1.29,1.25,1.31,12.35,13.35,11.35,,,,,,,,,,2.94,2.41,3.47,4.56,4.47,4.65,2.03,1.65,2.41,0.2,0.0,0.33,,,,269.15,284.94,253.35,,,,14.0,13.47,14.53,2.18,2.41,1.94,,,,,,,,,,,,,,,
Borussia M'gladbach,34,11,10,13,43,52.0,55.0,-3.0,17,10,17,1,58.8,5.9,53.94,56.53,51.35,1.56,1.92,1.19,2.36,3.0,1.69,1.39,1.82,0.94,12.03,14.94,9.12,,,,,,,,,,3.71,2.82,4.59,4.44,5.06,3.82,1.82,1.71,1.94,0.33,0.29,0.5,,,,428.76,458.18,399.35,,,,9.94,10.18,9.71,2.12,2.06,2.18,,,,,,,,,,,,,,,
1. FC Köln,34,10,12,12,42,49.0,54.0,-5.0,17,6,17,4,35.3,23.5,49.97,54.24,45.71,1.43,1.64,1.23,2.12,2.24,2.0,1.33,1.47,1.2,12.26,14.71,9.82,,,,,,,,,,2.32,2.06,2.59,6.03,6.88,5.18,2.27,2.19,2.35,0.43,0.25,0.67,,,,333.65,360.71,306.59,,,,11.76,11.71,11.82,2.12,1.94,2.31,,,,,,,,,,,,,,,
VfB Stuttgart,36,9,12,15,39,51.0,58.0,-7.0,18,6,18,3,33.3,16.7,50.03,50.94,49.11,1.43,1.48,1.37,2.31,2.17,2.44,1.65,1.61,1.69,13.58,15.5,11.67,,,,,,,,,,2.67,2.72,2.61,4.61,5.11,4.11,2.39,2.31,2.47,0.71,0.6,1.0,,,,364.06,379.89,348.22,,,,10.42,9.61,11.22,1.91,2.25,1.59,,,,,,,,,,,,,,,
TSG Hoffenheim,34,10,6,18,36,48.0,57.0,-9.0,17,7,17,3,41.2,17.6,48.18,48.35,48.0,1.43,1.81,1.05,1.85,2.47,1.19,1.0,1.31,0.64,11.97,14.53,9.41,,,,,,,,,,3.09,3.18,3.0,4.74,5.59,3.88,2.42,2.06,2.81,0.71,0.5,1.0,,,,316.47,311.88,321.06,,,,13.85,13.41,14.29,2.29,2.65,1.94,,,,,,,,,,,,,,,
SV Werder Bremen,34,10,6,18,36,51.0,64.0,-13.0,17,5,17,5,29.4,29.4,49.41,51.94,46.88,1.22,1.28,1.16,1.94,2.12,1.75,1.16,1.4,0.94,10.85,11.53,10.18,,,,,,,,,,3.59,2.76,4.41,3.21,2.88,3.53,2.45,2.25,2.67,1.0,,1.0,,,,340.62,365.41,315.82,,,,12.53,11.59,13.47,1.97,1.94,2.0,,,,,,,,,,,,,,,
VfL Bochum 1848,34,10,5,19,35,40.0,72.0,-32.0,17,8,17,2,47.1,11.8,46.12,47.65,44.59,1.16,1.35,0.97,1.59,1.82,1.35,0.79,0.88,0.71,11.76,12.88,10.65,,,,,,,,,,3.88,3.18,4.59,4.15,5.0,3.29,1.88,2.06,1.71,0.33,0.5,0.0,,,,248.03,250.82,245.24,,,,12.62,12.65,12.59,2.06,2.31,1.81,,,,,,,,,,,,,,,
