team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Liverpool,38,25,9,4,84,86.0,41.0,45.0,19,14,19,11,73.7,57.9,57.92,59.32,56.53,2.2,2.17,2.22,3.95,3.21,4.68,2.63,1.89,3.41,17.05,16.53,17.58,,,,,,,,,,2.79,2.47,3.11,6.63,6.47,6.79,1.86,1.68,2.06,0.75,0.67,1.0,,,,456.53,473.05,440.0,,,,11.32,11.53,11.11,1.58,1.79,1.37,,,,,,,,,,,,,,,
Arsenal,38,20,14,4,74,69.0,34.0,35.0,19,11,19,9,57.9,47.4,56.97,57.21,56.74,1.62,1.6,1.64,2.97,2.94,3.0,2.12,2.27,2.0,14.37,16.05,12.68,,,,,,,,,,2.26,1.63,2.89,6.61,7.42,5.79,1.94,1.74,2.18,0.86,1.0,0.8,,,,426.66,437.79,415.53,,,,10.55,9.79,11.32,2.29,2.39,2.18,,,,,,,,,,,,,,,
Manchester City,38,21,8,9,71,72.0,44.0,28.0,19,13,19,8,68.4,42.1,61.53,62.53,60.53,1.82,2.01,1.63,3.17,3.58,2.71,1.91,2.28,1.53,15.97,16.74,15.21,,,,,,,,,,2.29,1.79,2.79,6.66,7.0,6.32,1.74,1.94,1.53,0.67,0.5,1.0,,,,543.68,558.11,529.26,,,,7.55,7.63,7.47,1.18,1.37,1.0,,,,,,,,,,,,,,,
Chelsea,38,20,9,9,69,64.0,43.0,21.0,19,12,19,8,63.2,42.1,57.18,55.58,58.79,1.82,2.01,1.63,3.24,3.26,3.22,2.24,2.37,2.11,15.66,17.79,13.53,,,,,,,,,,3.03,2.79,3.26,6.16,6.47,5.84,2.73,2.78,2.68,0.5,0.5,0.5,,,,451.5,436.42,466.58,,,,11.47,11.32,11.63,1.76,2.32,1.17,,,,,,,,,,,,,,,
Aston Villa,38,19,9,10,66,58.0,51.0,7.0,19,11,19,8,57.9,42.1,50.61,55.42,45.79,1.51,1.8,1.22,3.08,3.72,2.47,2.17,2.56,1.76,12.74,15.42,10.05,,,,,,,,,,2.84,2.26,3.42,6.05,7.42,4.68,2.0,1.68,2.32,0.8,0.0,1.0,,,,370.55,413.89,327.21,,,,10.68,10.26,11.11,1.53,1.16,1.94,,,,,,,,,,,,,,,
Newcastle United,38,20,6,12,66,68.0,47.0,21.0,19,12,19,8,63.2,42.1,51.13,51.11,51.16,1.72,1.77,1.66,2.82,3.0,2.63,1.66,1.63,1.68,13.82,15.58,12.05,,,,,,,,,,3.08,3.16,3.0,5.71,6.16,5.26,1.79,2.05,1.53,0.25,0.25,,,,,377.89,367.11,388.68,,,,10.37,11.05,9.68,2.15,2.25,2.06,,,,,,,,,,,,,,,
Nottingham Forest,38,19,8,11,65,58.0,46.0,12.0,19,9,19,10,47.4,52.6,40.87,43.79,37.95,1.23,1.24,1.21,2.11,1.94,2.26,1.37,1.18,1.56,12.18,12.32,12.05,,,,,,,,,,3.16,2.84,3.47,4.18,4.21,4.16,2.43,1.58,3.33,0.5,0.0,1.0,,,,268.16,290.21,246.11,,,,10.55,9.68,11.42,2.39,2.53,2.26,,,,,,,,,,,,,,,
Brighton & Hove Albion,38,16,13,9,61,66.0,59.0,7.0,19,8,19,8,42.1,42.1,52.55,52.53,52.58,1.56,1.62,1.5,2.97,2.84,3.11,1.97,2.06,1.89,14.03,15.26,12.79,,,,,,,,,,2.54,2.32,2.78,4.95,4.79,5.11,2.11,1.95,2.26,0.5,0.0,0.6,,,,394.74,401.84,387.63,,,,11.53,11.63,11.42,1.21,1.53,0.89,,,,,,,,,,,,,,,
Brentford,38,16,8,14,56,66.0,57.0,9.0,19,9,19,7,47.4,36.8,47.76,50.26,45.26,1.58,1.89,1.28,2.87,3.37,2.37,1.79,2.18,1.41,11.58,12.95,10.21,,,,,,,,,,4.11,3.16,5.05,4.58,5.11,4.05,1.72,1.72,1.72,0.25,0.0,0.5,,,,332.0,354.26,309.74,,,,8.42,7.53,9.32,1.8,1.88,1.72,,,,,,,,,,,,,,,
Bournemouth,38,15,11,12,56,58.0,46.0,12.0,19,8,19,7,42.1,36.8,48.58,48.63,48.53,1.71,1.67,1.75,2.86,2.83,2.89,1.94,2.29,1.61,15.29,16.26,14.32,,,,,,,,,,3.37,2.84,3.89,6.0,6.26,5.74,2.55,2.26,2.84,0.43,0.4,0.5,,,,318.11,314.16,322.05,,,,13.82,14.11,13.53,2.12,2.24,2.0,,,,,,,,,,,,,,,
