team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Manchester City FC,MCI,38,28,7,3,91,96,34,62,2.53,0.89,13,14,5,0,14,2,3,WWWWW
Arsenal FC,ARS,38,28,5,5,89,91,29,62,2.39,0.76,18,15,2,2,13,3,3,WWWWW
Liverpool FC,LIV,38,24,10,4,82,86,41,45,2.26,1.08,10,15,3,1,9,7,3,LDWDW
Aston Villa FC,AVL,38,20,8,10,68,76,61,15,2.0,1.61,8,12,4,3,8,4,7,WDLDL
Tottenham Hotspur FC,TOT,38,20,6,12,66,74,61,13,1.95,1.61,7,13,0,6,7,6,6,LLWLW
Chelsea FC,CHE,38,18,9,11,63,77,63,14,2.03,1.66,8,11,4,4,7,5,7,WWWWW
Manchester United FC,MUN,38,18,6,14,60,57,58,-1,1.5,1.53,9,10,3,6,8,3,8,DLLWW
Newcastle United FC,NEW,38,18,6,14,60,85,62,23,2.24,1.63,10,12,4,3,6,2,11,WWDLW
West Ham United FC,WHU,38,14,10,14,52,60,74,-14,1.58,1.95,5,7,8,4,7,2,10,LDLWL
Crystal Palace FC,CRY,38,13,10,15,49,57,58,-1,1.5,1.53,10,8,4,7,5,6,8,WDWWW
Brighton & Hove Albion FC,BHA,38,12,12,14,48,55,62,-7,1.45,1.63,6,8,6,5,4,6,9,LWDLL
AFC Bournemouth,BOU,38,13,9,16,48,54,67,-13,1.42,1.76,9,7,6,6,6,3,10,WWLLL
Everton FC,EVE,38,13,9,16,48,40,51,-11,1.05,1.34,13,8,4,7,5,5,9,WWDWL
Fulham FC,FUL,38,13,8,17,47,55,61,-6,1.45,1.61,10,9,2,8,4,6,9,LDDLW
Wolverhampton Wanderers FC,WOL,38,13,7,18,46,50,65,-15,1.32,1.71,5,8,3,8,5,4,10,LWLLL
Brentford FC,BRE,38,10,9,19,39,56,65,-9,1.47,1.71,7,5,7,7,5,2,12,WLDWL
Nottingham Forest FC,NOT,38,9,9,20,36,49,67,-18,1.29,1.76,4,5,5,9,4,4,11,LLWLW
Luton Town FC,LUT,38,6,8,24,26,52,85,-33,1.37,2.24,2,4,4,11,2,4,13,LLDLL
Burnley FC,BUR,38,5,9,24,24,41,78,-37,1.08,2.05,2,2,4,13,3,5,11,WDLLL
Sheffield United FC,SHE,38,3,7,28,16,35,104,-69,0.92,2.74,1,2,4,13,1,3,15,LLLLL
