team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Manchester City,38,29,6,3,93,99.0,26.0,73.0,19,15,19,14,78.9,73.7,68.24,69.05,67.42,,,,3.21,3.32,3.11,1.91,1.81,2.0,18.76,18.89,18.63,,,,,,,,,,1.68,1.72,1.63,8.32,8.95,7.68,1.2,0.89,1.53,0.25,0.33,0.0,,,,616.34,625.42,607.26,,,,8.45,8.37,8.53,1.74,1.63,1.84,,,,,,,,,,,,,,,
Liverpool,38,28,8,2,92,94.0,26.0,68.0,19,15,19,13,78.9,68.4,63.21,66.0,60.42,,,,3.57,3.68,3.44,1.69,1.71,1.67,19.18,21.26,17.11,,,,,,,,,,2.16,2.0,2.32,7.42,7.89,6.95,1.43,1.28,1.59,0.25,0.0,0.33,,,,527.13,567.42,486.84,,,,9.55,9.05,10.05,1.7,1.72,1.68,,,,,,,,,,,,,,,
Chelsea,38,21,11,6,74,76.0,33.0,43.0,19,9,19,12,47.4,63.2,62.26,63.32,61.21,,,,2.54,2.67,2.42,1.51,1.62,1.42,15.58,17.16,14.0,,,,,,,,,,2.33,2.22,2.44,6.34,7.26,5.42,1.8,2.0,1.63,0.2,0.0,0.5,,,,531.58,523.53,539.63,,,,10.76,11.21,10.32,1.86,1.33,2.37,,,,,,,,,,,,,,,
Tottenham Hotspur,38,22,5,11,71,69.0,40.0,29.0,19,13,19,9,68.4,47.4,51.82,51.47,52.16,,,,2.81,3.22,2.42,1.71,2.0,1.41,12.92,13.68,12.16,,,,,,,,,,2.58,2.58,2.58,5.08,5.47,4.68,1.92,1.89,1.94,0.14,0.0,0.25,,,,428.71,426.84,430.58,,,,10.16,10.95,9.37,1.77,1.67,1.88,,,,,,,,,,,,,,,
Arsenal,38,22,3,13,69,61.0,48.0,13.0,19,13,19,9,68.4,47.4,53.03,56.0,50.05,,,,1.86,2.47,1.22,1.2,1.53,0.81,15.5,18.26,12.74,,,,,,,,,,2.7,2.16,3.28,5.47,6.68,4.26,1.78,1.74,1.83,0.57,0.25,1.0,,,,401.42,425.79,377.05,,,,9.61,9.47,9.74,1.78,1.83,1.74,,,,,,,,,,,,,,,
Manchester United,38,16,10,12,58,57.0,57.0,0.0,19,10,19,6,52.6,31.6,52.76,53.37,52.16,,,,2.11,2.21,2.0,1.32,1.39,1.26,13.37,14.68,12.05,,,,,,,,,,3.37,2.79,3.95,5.18,5.0,5.37,2.33,1.94,2.71,0.67,0.5,1.0,,,,414.58,434.05,395.11,,,,10.42,8.95,11.89,2.32,2.68,1.95,,,,,,,,,,,,,,,
West Ham United,38,16,8,14,56,60.0,51.0,9.0,19,9,19,7,47.4,36.8,47.71,47.05,48.37,,,,2.03,2.26,1.76,1.16,1.35,0.93,11.82,12.53,11.11,,,,,,,,,,3.05,3.0,3.11,5.26,5.53,5.0,1.42,1.59,1.26,0.5,0.0,0.75,,,,351.63,336.16,367.11,,,,8.5,8.47,8.53,1.74,1.78,1.69,,,,,,,,,,,,,,,
Leicester City,38,14,10,14,52,62.0,59.0,3.0,19,10,19,4,52.6,21.1,52.18,52.84,51.53,,,,1.97,2.39,1.58,1.12,1.5,0.76,11.45,12.47,10.42,,,,,,,,,,3.55,3.42,3.68,4.87,4.89,4.84,1.53,1.29,1.74,1.0,,1.0,,,,399.87,413.32,386.42,,,,9.37,8.84,9.89,1.67,2.06,1.32,,,,,,,,,,,,,,,
Brighton & Hove Albion,38,12,15,11,51,42.0,44.0,-2.0,19,5,19,7,26.3,36.8,54.61,54.95,54.26,,,,1.72,1.56,1.89,1.29,1.43,1.18,12.87,14.74,11.0,,,,,,,,,,2.74,3.0,2.47,5.26,6.21,4.32,1.92,1.68,2.16,1.0,1.0,1.0,,,,404.63,410.42,398.84,,,,10.34,10.95,9.74,1.56,1.59,1.53,,,,,,,,,,,,,,,
Wolverhampton,38,15,6,17,51,38.0,43.0,-5.0,19,7,19,8,36.8,42.1,49.53,51.32,47.74,,,,1.66,1.72,1.59,1.21,1.28,1.13,10.58,11.74,9.42,,,,,,,,,,3.38,2.95,3.83,4.42,4.63,4.21,1.7,1.74,1.67,0.4,0.33,0.5,,,,374.63,390.0,359.26,,,,9.63,9.32,9.95,1.65,1.89,1.42,,,,,,,,,,,,,,,
Newcastle United,38,13,10,15,49,44.0,62.0,-18.0,19,8,19,5,42.1,26.3,40.0,37.74,42.26,,,,1.36,1.59,1.16,0.9,0.87,0.94,11.82,12.58,11.05,,,,,,,,,,2.82,3.11,2.53,4.21,4.05,4.37,2.19,2.0,2.37,0.4,1.0,0.0,,,,245.5,221.47,269.53,,,,10.32,11.0,9.63,1.97,2.0,1.94,,,,,,,,,,,,,,,
Crystal Palace,38,11,15,12,48,50.0,46.0,4.0,19,7,19,4,36.8,21.1,51.16,53.47,48.84,,,,1.69,2.05,1.29,1.14,1.44,0.77,10.84,12.16,9.53,,,,,,,,,,2.66,2.42,2.89,4.61,4.79,4.42,1.86,1.79,1.94,0.25,0.0,0.5,,,,365.87,373.42,358.32,,,,10.89,11.05,10.74,1.8,1.44,2.18,,,,,,,,,,,,,,,
Brentford,38,13,7,18,46,48.0,56.0,-8.0,19,7,19,6,36.8,31.6,44.53,44.89,44.16,,,,1.83,2.12,1.58,1.06,1.38,0.79,11.63,12.26,11.0,,,,,,,,,,3.49,2.89,4.05,4.18,4.63,3.74,2.03,1.94,2.12,0.6,0.67,0.5,,,,283.21,283.95,282.47,,,,9.76,9.84,9.68,2.0,1.24,2.81,,,,,,,,,,,,,,,
Aston Villa,38,13,6,19,45,52.0,54.0,-2.0,19,6,19,7,31.6,36.8,46.45,46.89,46.0,,,,1.49,1.53,1.44,0.94,0.89,1.0,12.21,12.89,11.53,,,,,,,,,,2.58,2.47,2.68,5.16,4.74,5.58,2.25,1.94,2.53,0.67,0.67,,,,,312.32,330.16,294.47,,,,10.55,10.0,11.11,1.53,1.33,1.75,,,,,,,,,,,,,,,
Southampton,38,9,13,16,40,43.0,67.0,-24.0,19,6,19,3,31.6,15.8,47.71,45.32,50.11,,,,1.76,1.94,1.61,1.24,1.19,1.29,12.68,12.42,12.95,,,,,,,,,,3.11,3.26,2.95,6.13,6.0,6.26,1.76,1.83,1.68,0.67,0.5,1.0,,,,308.34,293.53,323.16,,,,10.58,10.84,10.32,1.24,1.18,1.29,,,,,,,,,,,,,,,
Everton,38,11,6,21,39,43.0,66.0,-23.0,19,9,19,2,47.4,10.5,39.76,40.11,39.42,,,,1.36,1.78,0.94,0.8,1.0,0.57,11.5,11.89,11.11,,,,,,,,,,3.37,3.0,3.74,4.24,4.89,3.58,2.16,2.32,2.0,1.2,1.25,1.0,,,,249.82,242.16,257.47,,,,9.68,8.79,10.58,1.47,1.83,1.11,,,,,,,,,,,,,,,
Leeds United,38,9,11,18,38,42.0,79.0,-37.0,19,4,19,5,21.1,26.3,52.53,54.53,50.53,,,,1.66,1.84,1.47,1.03,1.35,0.74,12.76,13.89,11.63,,,,,,,,,,3.97,3.67,4.26,4.47,5.05,3.89,2.66,2.79,2.53,0.5,1.0,0.25,,,,338.55,349.37,327.74,,,,12.34,12.42,12.26,1.91,2.2,1.67,,,,,,,,,,,,,,,
