team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Real Madrid CF,38,29,8,1,95,87,26,61,2.29,0.68,21,16,3,0,13,5,1,WWWDD
FC Barcelona,38,26,7,5,85,79,44,35,2.08,1.16,17,15,1,3,11,6,2,LWWWW
Girona FC,38,25,6,7,81,85,46,39,2.24,1.21,12,15,2,2,10,4,5,WDLWW
Club Atlético de Madrid,38,24,4,10,76,70,43,27,1.84,1.13,13,16,1,2,8,3,8,WWWLW
Athletic Club,38,19,11,8,68,61,37,24,1.61,0.97,18,12,6,1,7,5,7,WDLWW
Real Sociedad de Fútbol,38,16,12,10,60,51,39,12,1.34,1.03,15,8,6,5,8,6,5,WLWWL
Real Betis Balompié,38,14,15,9,57,48,45,3,1.26,1.18,13,9,7,3,5,8,6,WWDLD
Villarreal CF,38,14,11,13,53,65,65,0,1.71,1.71,6,7,5,7,7,6,6,LWWDD
Valencia CF,38,13,10,15,49,40,45,-5,1.05,1.18,13,8,6,5,5,4,10,LDLLD
Deportivo Alavés,38,12,10,16,46,36,46,-10,0.95,1.21,11,9,4,6,3,6,10,WDLWD
CA Osasuna,38,12,9,17,45,45,56,-11,1.18,1.47,10,6,5,8,6,4,9,LDDWD
Getafe CF,38,10,13,15,43,42,54,-12,1.11,1.42,10,8,5,6,2,8,9,LLLLL
RC Celta de Vigo,38,10,11,17,41,46,57,-11,1.21,1.5,6,6,6,7,4,5,10,WLWWD
Sevilla FC,38,10,11,17,41,48,54,-6,1.26,1.42,8,6,5,8,4,6,9,WLLLL
UD Las Palmas,38,10,10,18,40,33,47,-14,0.87,1.24,8,6,6,7,4,4,11,LLDDD
RCD Mallorca,38,8,16,14,40,33,44,-11,0.87,1.16,10,6,8,5,2,8,9,LWDDW
Rayo Vallecano de Madrid,38,8,14,16,38,29,48,-19,0.76,1.26,13,4,8,7,4,6,9,LDWLL
Cádiz CF,38,6,15,17,33,26,55,-29,0.68,1.45,10,5,9,5,1,6,12,LWWDL
Granada CF,38,4,9,25,21,38,79,-41,1.0,2.08,3,4,6,9,0,3,16,LLLLL
UD Almería,38,3,12,23,21,43,75,-32,1.13,1.97,6,1,8,10,2,4,13,WLLDW
